aletrnatif,longitude,latitude,jumlah_atraksi,jumlah_penduduk,indeks_pendapatan,harga_tanah
70,-115.55,32.98,33,2266,5.4349,143000
71,-115.55,32.98,24,2565,3.2593,80800
72,-115.55,32.82,34,1540,2.5664,67500
73,-115.55,32.8,23,666,2.1136,61000
74,-115.55,32.79,23,1004,1.6351,59600
75,-115.55,32.79,22,565,1.2083,53600
76,-115.55,32.78,5,2652,2.8025,84300
77,-115.56,32.96,21,2164,3.8177,107200
78,-115.56,32.8,28,1672,1.5987,59400
79,-115.56,32.8,25,1311,2.1979,63900
80,-115.56,32.8,15,1171,1.3882,69400
81,-115.56,32.79,20,2372,1.1707,62500
82,-115.56,32.79,18,1178,1.3373,58300
83,-115.56,32.78,46,2511,3.0603,70800
84,-115.56,32.78,35,1185,4.6154,86200
85,-115.56,32.78,29,1568,3.1597,76200
86,-115.56,32.76,15,1278,4.4821,140300
87,-115.57,32.85,33,1365,3.2396,62300
88,-115.57,32.85,17,1039,1.7411,63500
89,-115.57,32.84,29,1207,1.9531,61100
90,-115.57,32.83,31,1494,3.5282,67500
91,-115.57,32.8,16,2276,1.875,93800
92,-115.57,32.79,34,1152,3.6042,73600
93,-115.57,32.78,20,1534,6.2715,97200
94,-115.57,32.78,15,1413,4.3021,87500
95,-115.58,33.88,21,1161,3.1827,71700
96,-115.58,32.81,5,805,4.475,96300
97,-115.58,32.81,10,1088,3.6597,87500
98,-115.58,32.79,14,1687,1.6635,64400
99,-115.58,32.78,5,2494,5.7843,110100
100,-115.59,32.85,20,1608,4.875,90800
101,-115.59,32.79,8,2183,6.3814,159900
102,-115.59,32.69,30,935,2.5769,94400
103,-115.6,33.2,37,709,2.4511,72500
104,-115.6,32.87,3,1629,4.1293,83200
105,-115.62,33.04,20,1121,2.2969,62000
106,-115.62,33.04,17,1009,2.0463,61200
107,-115.64,32.8,23,1228,3.1667,125000
108,-115.69,32.79,18,1564,2.1792,55200
109,-115.72,32.75,16,348,2.0938,87500
110,-115.73,33.36,19,749,1.7727,50000
111,-115.73,33.35,23,1586,1.2132,30000
112,-115.73,33.09,27,452,2.9,87500
113,-115.73,32.8,44,472,2.2083,93800
114,-115.8,33.26,2,96,5.3374,47500
115,-115.84,33.49,20,1660,2.0347,68900
116,-115.85,34.2,34,3868,1.3571,41000
117,-115.88,32.93,15,208,4.0208,32500
118,-115.9,33.34,19,1210,1.7857,62800
119,-115.91,33.36,15,459,0.922,67500
120,-115.93,35.55,18,1321,3.4028,67500
121,-115.94,33.38,5,186,2.7,58800
122,-115.95,33.28,12,99,1.8958,53800
123,-115.96,33.3,27,322,1.125,54400
124,-115.98,33.32,8,240,1.4688,53800
125,-115.99,33.4,15,1945,2.0109,54300
126,-116,33.19,16,245,1.2639,51300
127,-116,32.74,26,1134,1.4338,43900
128,-116.01,33.51,24,2985,1.7344,66400
129,-116.01,33.41,20,1996,2.8684,62800
130,-116.02,34.18,8,569,4.3021,94500
131,-116.05,34.12,19,301,3.125,65600
132,-116.05,33.33,17,290,1.7292,81300
133,-116.06,34.2,29,1202,1.3371,66900
134,-116.06,34.15,15,10377,2.2466,66800
135,-116.08,33.86,16,381,2.425,76100
136,-116.09,34.15,13,9444,2.6111,65600
137,-116.11,33.64,20,1273,2.0871,84700
138,-116.12,33.53,17,2421,1.654,100000
139,-116.14,34.22,32,3298,1.875,47800
140,-116.15,34.14,18,3312,3.0139,82600
141,-116.15,33.69,22,197,2.9286,112500
142,-116.15,33.64,10,1711,1.6557,65400
143,-116.16,33.68,12,1230,2.2679,61400
144,-116.17,33.67,18,3585,2.5714,65900
145,-116.17,33.66,22,639,1.9306,47500
146,-116.17,33.53,13,1713,2.1287,58600
147,-116.18,33.69,17,89,2.375,155000
148,-116.18,33.67,25,2888,2.2141,66700
149,-116.19,33.67,16,1859,1.7297,67500
150,-116.2,33.7,26,2399,2.2989,60600
151,-116.2,33.63,23,1152,2.5,96300
152,-116.2,32.64,28,1608,1.4648,61800
153,-116.21,33.75,22,894,3.0673,68200
154,-116.21,33.72,28,2488,2.3169,68900
155,-116.21,33.71,19,3114,1.7083,82200
156,-116.21,33.68,34,584,1.5809,100000
157,-116.21,33.66,19,1596,3.8846,100900
158,-116.22,36,14,1372,1.1471,32900
159,-116.22,34.21,23,1175,2.2083,42500
160,-116.22,33.74,26,4120,3.3107,69400
161,-116.22,33.73,38,1695,2.1217,68500
162,-116.22,33.72,28,826,1.7172,58800
163,-116.22,33.7,9,3861,3.2833,124700
164,-116.23,33.73,29,1133,2.8648,72100
165,-116.23,33.72,32,4981,1.7805,76900
166,-116.23,33.71,17,4874,2.444,90000
167,-116.24,33.73,14,2774,3.0682,104100
168,-116.24,33.72,25,5236,3.775,93400
169,-116.24,33.71,10,9033,2.7598,95000
170,-116.25,33.81,24,880,3.4583,67500
171,-116.25,33.75,33,278,2.025,50000
172,-116.25,33.69,5,1664,2.7667,92900
173,-116.26,33.65,3,7437,10.2948,382400
174,-116.26,33.07,17,934,1.9875,83700
175,-116.27,34.13,37,452,3.7292,65800
176,-116.29,33.74,6,12991,4.7195,199300
177,-116.29,33.72,5,3584,3.1771,167400
178,-116.3,33.68,10,2387,2.8882,137500
179,-116.31,34.13,20,2352,1.6063,55400
180,-116.31,33.67,15,2214,2.9187,93400
181,-116.31,33.67,11,4686,3.3333,91800
182,-116.31,33.66,7,4497,3.6354,98000
183,-116.32,34.14,18,1880,1.69,54200
184,-116.32,34.1,10,4256,2.6618,81000
185,-116.32,33.28,19,1791,3.3625,100000
186,-116.33,34.15,13,1808,1.5489,57400
187,-116.33,33.75,5,19107,4.036,158500
188,-116.33,33.72,11,12327,7.4382,353100
189,-116.34,33.36,24,2746,3.3214,176400
190,-116.35,34.13,9,1969,1.5491,62300
191,-116.35,32.74,16,2595,1.7137,110700
192,-116.36,33.88,11,12557,1.7844,78500
193,-116.37,33.72,17,8626,3.312,121300
194,-116.37,33.69,7,8806,7.8005,318100
195,-116.37,33.19,12,4890,2.5795,98700
196,-116.38,34.2,14,4985,2.0674,65000
197,-116.38,34.1,6,2104,4.1458,116300
198,-116.38,33.74,7,17579,4.084,194500
199,-116.38,33.73,10,11836,4.0079,134500
200,-116.38,33.71,17,12509,4.5556,258100
201,-116.39,34.15,15,5583,1.9779,73300
202,-116.39,33.82,15,11115,2.7219,74400
203,-116.39,33.72,19,7646,3.5569,128000
204,-116.39,33.69,10,11659,6.9833,238800
205,-116.4,34.12,16,5648,2.6739,78000
206,-116.4,34.09,9,4855,3.2723,97800
207,-116.4,33.78,8,3059,6.8729,259200
208,-116.41,33.74,25,2475,3.3639,168800
209,-116.41,33.74,17,4289,2.4659,177800
210,-116.42,33.79,12,7095,4.9444,285000
211,-116.42,33.76,14,16921,7.6281,341700
212,-116.42,33.68,15,3895,2.2208,138300
213,-116.42,33.51,26,186,2.5625,103100
214,-116.43,34.1,17,6683,2.4828,84000
215,-116.43,33.81,8,6710,3.5223,115100
216,-116.43,33.75,24,2596,3.7727,500001
217,-116.44,34.16,19,1867,2.8929,98100
218,-116.44,34.12,18,5584,1.5823,72400
219,-116.44,33.93,17,5293,1.6849,88400
220,-116.44,33.77,18,4872,2.2439,97500
221,-116.44,33.74,5,846,7.9885,403300
222,-116.45,33.8,9,5534,3.6161,99100
223,-116.45,33.78,16,5228,3.0859,134600
224,-116.45,32.65,22,2680,2.1949,127100
225,-116.46,33.82,6,4863,3.9508,104200
226,-116.46,33.78,33,2565,2.5477,83000
227,-116.47,34.07,22,5473,1.9375,65300
228,-116.47,33.94,18,2233,3.2578,85200
229,-116.47,33.84,3,9169,4.3111,142500
230,-116.47,33.81,7,10105,2.4497,90900
231,-116.47,33.78,27,1781,3.3162,113600
232,-116.48,33.94,10,3254,1.8,81000
233,-116.48,33.79,14,9425,2.6298,145200
234,-116.48,33.61,8,1294,2.9167,115300
235,-116.49,33.82,27,3316,2.9569,65900
236,-116.49,33.8,13,8789,3.7396,148900
237,-116.5,33.98,5,4332,4.0417,146400
238,-116.5,33.95,10,7249,1.6983,66600
239,-116.5,33.82,16,343,2.1042,87500
240,-116.5,33.81,26,5032,2.5399,94800
241,-116.5,33.69,20,4810,2.25,248100
242,-116.51,34.85,15,3149,2,64700
243,-116.51,34.45,21,8502,1.3811,51300
244,-116.51,33.96,16,4913,1.4665,61100
245,-116.51,33.94,12,3369,1.7388,66000
246,-116.51,33.89,21,1284,1.95,61000
247,-116.52,33.97,13,3921,3.3616,89600
248,-116.52,33.85,13,7559,3.4886,112500
249,-116.52,33.84,17,4465,3.6875,130400
250,-116.52,33.82,21,10227,2.5212,145200
251,-116.52,32.9,18,4454,4.57,189900
252,-116.53,33.95,18,2990,2.625,68200
253,-116.53,33.88,5,4423,4.6855,125200
254,-116.53,33.85,16,10077,2.9647,110900
255,-116.53,33.84,28,8399,2.5885,159000
256,-116.53,33.78,18,2547,2.5489,220500
257,-116.54,33.81,31,6814,2.1176,124100
258,-116.54,33.81,24,6087,3.1493,199400
259,-116.54,33.8,22,6050,2.2216,183900
260,-116.54,33.79,18,9374,3.9737,235600
261,-116.55,33.84,28,2992,5.7613,500001
262,-116.56,34.06,15,6928,2.5405,69600
263,-116.56,33.83,36,1765,2.6083,321900
264,-116.56,33.05,15,1985,4.125,148200
265,-116.57,35.43,8,9975,2.7138,22500
266,-116.57,34,20,260,3.5208,76600
267,-116.57,33.94,29,551,1.1917,50000
268,-116.57,33.84,18,7962,3.3897,230200
269,-116.57,33.64,10,489,6.2702,345500
270,-116.58,32.69,19,4085,2.919,116500
271,-116.6,33.49,16,3730,2.183,113500
272,-116.6,33.06,23,1731,2.7813,172900
273,-116.61,33.04,11,2522,3.875,198100
274,-116.62,34.23,14,6438,1.6136,67400
275,-116.62,32.86,18,4115,4.0159,169100
276,-116.66,32.79,13,843,6.2152,240600
277,-116.67,32.97,16,349,5.359,193800
278,-116.68,33.71,21,3460,3.5882,161100
279,-116.68,33.16,26,1820,2.1797,156300
280,-116.71,33.94,12,549,3.0208,66300
281,-116.72,34.89,14,4527,2.8594,81700
282,-116.72,33.56,13,3166,2.355,122900
283,-116.74,33.62,11,2385,2.9141,214300
284,-116.74,33.33,17,4190,2.4744,158200
285,-116.75,33.83,16,5277,3.3333,143400
286,-116.75,32.85,17,4863,4.2321,217400
287,-116.75,32.82,17,3348,6.6361,308600
288,-116.76,34.29,14,3959,2.8214,111400
289,-116.76,34.14,4,42,0.536,42500
290,-116.76,33.46,6,1251,3.0694,173400
291,-116.76,32.84,16,3311,3.1196,187200
292,-116.76,32.74,14,4085,4.7367,214500
293,-116.77,33.92,19,2307,1.6875,63000
294,-116.78,33,7,12480,5.5102,221000
295,-116.79,33.99,16,319,1.4688,90000
296,-116.79,32.84,12,4281,3.5769,231800
297,-116.79,32.61,19,2652,3.5227,206100
298,-116.8,33.8,35,324,3.4167,100000
299,-116.8,32.8,11,3874,6.1481,274600
300,-116.82,34.24,11,5799,2.5147,84700
301,-116.83,34.25,15,8948,2.7375,90800
302,-116.83,32.83,6,3123,5.4288,167800
303,-116.84,33.01,5,5673,5.4155,199200
304,-116.84,32.92,20,1066,3.1607,119300
305,-116.84,32.86,16,2502,3.2516,202100
306,-116.85,34.98,26,3606,2.6587,57400
307,-116.85,34.25,5,5806,4.0132,163100
308,-116.85,32.83,17,4234,3.6445,197600
309,-116.86,34.23,13,4760,5.4618,147800
310,-116.86,33.97,11,658,2.3977,58000
311,-116.86,33.84,18,521,2.7788,91100
312,-116.86,33.73,13,2604,2.933,170700
313,-116.86,33.05,17,9044,3.6348,164500
314,-116.86,33.02,17,401,4.6518,170200
315,-116.86,32.87,17,5799,5.0524,285400
316,-116.86,32.8,19,1747,4.875,187200
317,-116.87,33.94,35,4448,2.218,73400
318,-116.87,33.93,32,3141,1.4556,54600
319,-116.87,33.76,5,4116,2.5612,130800
320,-116.87,33.57,12,1153,3.038,128100
321,-116.87,32.75,15,2053,5.5164,248900
322,-116.87,32.72,13,3268,5.7652,259900
323,-116.88,34.25,11,1089,4.9643,176000
324,-116.88,34.24,13,4137,4.6394,226500
325,-116.88,34.19,38,898,1.6875,225000
326,-116.88,34.08,52,3419,3.9028,128600
327,-116.88,33.93,37,1495,1.2188,55000
328,-116.88,33.74,20,3111,1.5982,140000
329,-116.88,33.05,11,7217,2.8827,166700
330,-116.88,33.02,16,3204,5.2596,171500
331,-116.88,32.86,9,3049,5.0733,196600
332,-116.89,33.93,29,4549,2.0976,72600
333,-116.89,33.92,10,2653,2.6643,81000
334,-116.89,33.86,2,6900,3.0417,146300
335,-116.89,33.75,23,2719,2.0154,81700
336,-116.89,33.48,14,1016,2.8071,137500
337,-116.89,32.99,14,2816,5.0278,210900
338,-116.89,32.85,16,1743,2.8906,158300
339,-116.89,32.85,15,3560,5.1185,185300
340,-116.89,32.67,9,2652,6.2578,293100
341,-116.9,34.69,10,337,0.4999,55000
342,-116.9,34.52,20,3481,1.4,77700
343,-116.9,34.25,16,3018,3.5288,189700
344,-116.9,33.98,30,3915,3.6339,98600
345,-116.9,33.93,34,3183,2.2321,71800
346,-116.9,33.74,14,2281,2.3712,127900
347,-116.9,33.65,15,652,2.1071,93800
348,-116.9,33.22,11,4132,3.1906,234500
349,-116.9,33.03,11,3213,3.475,167200
350,-116.9,32.9,19,3090,4.0806,189200
351,-116.9,32.84,18,4215,4.0873,146900
352,-116.9,32.84,18,3612,2.7069,153800
353,-116.9,32.79,21,3770,6.7685,294700
354,-116.9,32.77,8,3600,6.2609,307100
355,-116.91,34,18,553,5.5,193800
356,-116.91,33.75,13,10886,2.3169,123400
357,-116.91,33.71,19,6807,3.1591,189700
358,-116.91,32.87,14,3048,4.3818,147100
359,-116.91,32.86,15,3153,3.6898,131000
360,-116.91,32.86,10,3699,2.5365,139500
361,-116.91,32.85,21,4152,4.5096,159500
362,-116.91,32.83,16,5203,4.105,174400
363,-116.91,32.82,14,1978,3.8073,170100
364,-116.91,32.81,22,4331,5.4834,232000
365,-116.91,32.8,32,1943,5.6846,208800
366,-116.91,32.78,15,4058,7.5,316400
367,-116.91,32.73,8,4630,6.4745,300300
368,-116.92,33.63,18,397,2.8125,143800
369,-116.92,32.85,23,1378,4.0625,145000
370,-116.92,32.84,16,4675,4.6674,178000
371,-116.92,32.82,34,1765,5.0118,165300
372,-116.92,32.82,17,2492,2.8875,155700
373,-116.92,32.82,16,2784,4.0048,184600
374,-116.92,32.8,33,1518,3.5586,160400
375,-116.92,32.78,21,4192,4.4306,159100
376,-116.92,32.76,9,1859,5.9202,181300
377,-116.93,33.93,13,7804,2.0549,95600
378,-116.93,33.75,14,6027,2.964,121500
379,-116.93,33.74,15,3757,3.6806,112800
380,-116.93,33.06,16,3490,4.8836,239900
381,-116.93,32.87,17,3722,3.6027,211900
382,-116.93,32.85,5,4116,3.1142,150000
383,-116.93,32.85,15,3273,2.5388,119000
384,-116.93,32.83,21,1283,2.3203,163500
385,-116.93,32.82,26,4129,4.2586,171000
386,-116.93,32.81,18,2447,2.6429,125400
387,-116.93,32.79,23,5759,3.0927,140600
388,-116.93,32.79,19,3354,3.0192,142300
389,-116.94,34.4,20,6541,2.1339,78500
390,-116.94,34.24,27,12342,1.998,153500
391,-116.94,33.77,14,7240,2.4145,137600
392,-116.94,33.74,19,2901,4.6406,118900
393,-116.94,33.73,17,5160,3.7175,120000
394,-116.94,32.89,24,2541,5.2542,227800
395,-116.94,32.87,24,2824,5.2614,177200
396,-116.94,32.84,32,1607,4.5278,166300
397,-116.94,32.83,38,1701,3.7831,147800
398,-116.94,32.82,35,1737,3.2411,159200
399,-116.94,32.8,28,3042,2.4141,137500
400,-116.94,32.8,21,7906,1.8937,109800
401,-116.94,32.78,17,13559,3.434,193200
402,-116.94,32.75,4,14934,5.1221,229700
403,-116.95,33.97,14,5320,3.1393,116300
404,-116.95,33.79,8,10997,2.1979,95300
405,-116.95,33.78,24,3409,1.7303,74000
406,-116.95,33.76,10,6890,1.7079,95900
407,-116.95,33.75,23,4676,1.7847,109500
408,-116.95,33.75,19,2238,2.0714,85800
409,-116.95,33.74,20,2233,2.4554,89400
410,-116.95,33.74,18,1996,2.7083,91200
411,-116.95,33.73,21,4587,3.2371,94500
412,-116.95,33.68,11,1183,4.4792,173900
413,-116.95,33.31,16,2921,2.2393,117000
414,-116.95,32.96,18,2087,4.5,222600
415,-116.95,32.84,31,1307,3.4286,129400
416,-116.95,32.83,14,12517,3.3081,168700
417,-116.95,32.82,18,3038,3.8024,144900
418,-116.95,32.82,12,5535,2.5949,108300
419,-116.95,32.81,31,1277,3.1106,147700
420,-116.95,32.81,15,2619,2.543,100000
421,-116.95,32.79,19,11391,2.0326,123200
422,-116.95,32.78,33,2432,3.3906,138100
423,-116.95,32.78,20,3425,6.2552,296400
424,-116.95,32.77,25,3308,6.3191,303400
425,-116.95,32.76,13,5543,4.9528,266200
426,-116.95,32.73,17,1635,5.2671,157100
427,-116.96,34.94,20,2355,3.9934,88500
428,-116.96,34.83,30,1211,1.6667,44700
429,-116.96,33.94,22,1999,1.4063,81900
430,-116.96,33.79,21,2990,2.0135,83000
431,-116.96,33.75,35,3269,2.5898,76300
432,-116.96,33.74,19,3649,2.2115,87600
433,-116.96,33.73,20,4735,3.069,87000
434,-116.96,32.9,16,3047,5.3008,186500
435,-116.96,32.87,17,4713,4.8286,158500
436,-116.96,32.86,14,3064,4.4347,160300
437,-116.96,32.85,11,9724,4.1716,166100
438,-116.96,32.81,8,2378,2.9097,152500
439,-116.96,32.8,25,3421,3.369,134400
440,-116.96,32.8,19,4574,2.065,124100
441,-116.96,32.8,16,3920,1.3291,120800
442,-116.96,32.79,35,1081,2.6324,133700
443,-116.96,32.79,19,3008,2.6087,123800
444,-116.96,32.79,17,5236,2.3221,138800
445,-116.96,32.78,26,2807,2.1638,132800
446,-116.97,33.96,12,5876,2.4322,112100
447,-116.97,33.94,29,3197,3.0432,91200
448,-116.97,33.93,29,2793,1.424,73200
449,-116.97,33.78,24,2680,2.535,74800
450,-116.97,33.74,31,2712,1.942,86200
451,-116.97,33.74,20,3674,2.2161,76900
452,-116.97,33.13,10,5149,6.7957,287500
453,-116.97,32.83,23,149,2.6458,112500
454,-116.97,32.8,15,3927,2.4367,111400
455,-116.97,32.79,32,1255,2.6635,113600
456,-116.97,32.79,19,4108,1.9893,112500
457,-116.97,32.78,37,1255,3.7019,138600
458,-116.97,32.78,35,1113,2.9784,136400
459,-116.97,32.78,26,8902,4.7943,226900
460,-116.97,32.76,33,3071,6.1768,228900
461,-116.97,32.76,26,2460,5.9878,270700
462,-116.97,32.75,28,3519,4.7973,186900
463,-116.97,32.74,14,7410,4.2192,176100
464,-116.97,32.65,4,16450,5.6631,233400
465,-116.97,32.56,23,1262,2.5625,153300
466,-116.98,34.13,16,2098,4.0333,133900
467,-116.98,34.07,21,739,4.8958,117500
468,-116.98,34.05,6,2290,7.2708,316700
469,-116.98,33.94,27,3459,3.4545,89800
470,-116.98,33.93,40,2277,1.9472,73200
471,-116.98,33.93,33,376,2.1581,68300
472,-116.98,33.83,15,2228,2.683,139300
473,-116.98,33.77,12,5829,1.9707,107900
474,-116.98,33.74,25,4952,1.8446,85700
475,-116.98,32.88,12,7320,4.3952,151700
476,-116.98,32.86,19,2121,4.7717,153200
477,-116.98,32.86,16,7718,4.0693,146400
478,-116.98,32.85,12,3570,4.0882,134500
479,-116.98,32.8,28,5721,3.963,164400
480,-116.98,32.79,32,3756,3.8667,189700
481,-116.98,32.77,29,3558,8.093,379600
482,-116.98,32.75,25,4137,4.375,214000
483,-116.98,32.75,18,1519,2.9886,170800
484,-116.98,32.74,24,977,4.9286,173700
485,-116.98,32.74,16,3361,5.1098,162300
486,-116.98,32.73,16,952,5.0864,175300
487,-116.98,32.72,4,1078,4.6667,223300
488,-116.98,32.71,18,2355,3.4551,121400
489,-116.99,34.89,24,2741,3.474,70500
490,-116.99,34.88,23,6060,3.1528,69000
491,-116.99,34.3,29,5055,3.5104,157100
492,-116.99,33.99,22,4227,4.7356,195900
493,-116.99,33.92,26,503,3.7083,147500
494,-116.99,33.77,7,10352,2.2925,113100
495,-116.99,33.76,12,7626,2.1722,69400
496,-116.99,33.75,18,9601,1.4366,77000
497,-116.99,33.73,13,16148,1.9961,97800
498,-116.99,33.46,13,1614,2.83,43000
499,-116.99,32.96,17,5509,4.8854,181300
500,-116.99,32.85,32,5211,4.0931,134200
501,-116.99,32.83,20,6696,3.1979,154600
502,-116.99,32.81,25,4436,4.2386,201000
503,-116.99,32.81,18,10968,6.2787,250000
504,-116.99,32.8,34,3657,5.2907,195800
505,-116.99,32.79,33,2420,4.0658,165100
506,-116.99,32.79,26,3623,3.744,165800
507,-116.99,32.78,29,1114,5.4333,222800
508,-116.99,32.77,35,2306,6.1103,301600
509,-116.99,32.74,18,3341,3.9844,215300
510,-116.99,32.74,17,3101,3.1771,189900
511,-116.99,32.73,30,1856,4.0357,153800
512,-116.99,32.72,15,825,4.0391,169500
513,-116.99,32.72,14,1771,4.775,143300
514,-116.99,32.72,13,1330,3.8295,149600
515,-116.99,32.72,11,1112,4.7679,169500
516,-116.99,32.71,21,3049,3.8904,113800
517,-116.99,32.7,15,3660,4.0444,150100
518,-116.99,32.64,15,4331,3.9519,193500
519,-117,34.89,29,2637,2.99,69400
520,-117,34.87,16,6862,3.6091,87200
521,-117,33.74,8,5330,2.1103,94400
522,-117,33.29,17,2073,8.2531,419200
523,-117,32.87,18,11544,4.4904,150400
524,-117,32.85,24,1888,5.282,140800
525,-117,32.8,33,1816,4.5662,150300
526,-117,32.77,35,2114,5.5,241400
527,-117,32.77,30,1802,2.8125,173500
528,-117,32.76,31,2545,4.3977,226800
529,-117,32.76,31,1989,6.5645,189100
530,-117,32.74,17,2357,1.8856,118800
531,-117,32.72,10,3817,2.1362,143200
532,-117,32.71,22,2263,3.725,123500
533,-117,32.7,23,2785,4.3714,131000
534,-117,32.67,16,2238,6.6143,264100
535,-117,32.64,11,3098,4.9792,170400
536,-117.01,34.9,36,2181,2.3077,55500
537,-117.01,34.9,34,2194,2.1056,72000
538,-117.01,34.89,26,2599,2.7198,70400
539,-117.01,34.01,15,5592,4.7193,135200
540,-117.01,33.97,18,4775,2.3355,118800
541,-117.01,33.04,13,4595,7.7684,362300
542,-117.01,32.99,8,3372,8.4284,378300
543,-117.01,32.85,23,2592,5.4903,151400
544,-117.01,32.84,23,1951,3.1023,143300
545,-117.01,32.83,17,15401,3.3067,121900
546,-117.01,32.81,26,4499,5.516,185100
547,-117.01,32.81,21,4203,5.3441,193500
548,-117.01,32.8,20,2705,3.7159,168900
549,-117.01,32.8,17,1558,2.6934,160200
550,-117.01,32.8,17,1042,3.1,84200
551,-117.01,32.79,33,4015,4.3152,159300
552,-117.01,32.79,31,3776,3.4421,155300
553,-117.01,32.78,20,2616,2.9896,235600
554,-117.01,32.77,43,841,3.0179,149300
555,-117.01,32.77,34,3330,2.6678,164200
556,-117.01,32.76,34,3415,4.0549,223700
557,-117.01,32.76,22,3626,2.8594,189600
558,-117.01,32.75,34,2105,4.3088,152500
559,-117.01,32.75,26,4038,3.9545,178100
560,-117.01,32.74,31,3473,2.6973,135200
561,-117.01,32.73,22,2526,2.8646,120800
562,-117.01,32.72,12,2914,2.3068,132300
563,-117.01,32.71,20,3506,2.981,129100
564,-117.01,32.7,7,2327,3.3553,132200
565,-117.01,32.7,25,2321,3.5341,120800
566,-117.01,32.67,17,2319,5.551,266900
567,-117.01,32.66,11,9992,6.9664,293900
568,-117.01,32.63,7,6483,5.7358,221600
569,-117.02,36.4,19,619,2.1,14999
570,-117.02,34.9,37,1199,1.6515,61600
571,-117.02,34.89,29,3111,2.8281,69300
572,-117.02,34.03,19,4415,4.2361,191600
573,-117.02,33.95,5,1822,2.8783,105200
574,-117.02,33.81,10,6317,2.3,108900
575,-117.02,33.76,20,1317,2.8393,120700
576,-117.02,33.73,14,3700,1.9476,112500
577,-117.02,33.71,6,8278,3.0043,134700
578,-117.02,33.6,7,1972,3.244,337200
579,-117.02,32.95,25,1909,3.7784,160100
580,-117.02,32.84,17,4013,5.131,148300
581,-117.02,32.81,27,1950,4.0656,164000
582,-117.02,32.81,26,1998,5.4544,180900
583,-117.02,32.81,14,3173,3.7292,182200
584,-117.02,32.8,29,1232,3.65,168900
585,-117.02,32.8,27,2369,4.1162,177200
586,-117.02,32.79,36,2211,4.0491,147900
587,-117.02,32.78,33,3481,3.3675,158200
