,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
32,dukung,suku,dayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,bilang,himpun,islam,pas,sholat,aja,demo,dibubarin,emak,emak,,,,,,,,,,,,,,,,,,,,,,
34,pijarbangsa,bantu,bidang,spiritual,msyarakat,indonesia,apa,agama,n,percaya,httpstcoyhrcddsfw,,,,,,,,,,,,,,,,,,,,,
35,oalah,bujug,aku,islam,nggak,salah,suka,httpstcoqicddkzcny,,,,,,,,,,,,,,,,,,,,,,,,
36,jelek,banget,topeng,kaya,modal,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,hallo,kak,maaf,oot,pke,two,way,cake,httpstcohciadllf,,,,,,,,,,,,,,,,,,,,,,,
38,sebenernya,bikin,bagus,muka,dazai,coba,kalo,dazai,jelek,jelek,jg,wkoskekekek,,,,,,,,,,,,,,,,,,,,
39,mending,bajing,munafik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,hasil,gawe,balik,semak,tah,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,kadrun,ibliss,dhajjall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,dubes,jahat,teroris,internasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,percaya,komunis,suguh,syurga,anak,bangsa,,,,,,,,,,,,,,,,,,,,,,,,,,
44,media,bikin,kadrun,goblok,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,hahahaha,gelora,kadrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,maling,garong,uang,negara,indonesia,asal,negri,cina,banyakada,tangkap,httpstcopknmriprl,,,,,,,,,,,,,,,,,,,,,
47,cerita,jaman,kadrun,oon,percaya,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,penting,butuh,halal,haram,munafik,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,kadrunbawa,akhirattuan,lu,kasap,mata,nyolong,n,n,httpstcooqlnnkopvn,,,,,,,,,,,,,,,,,,,,,,,
50,si,kadrun,ompong,ken,kuasa,httpstcoqibavrlc,,,,,,,,,,,,,,,,,,,,,,,,,,
51,servis,nya,jelek,gimana,main,bagus,gue,hhh,diabisin,adin,anjing,udah,tau,adin,main,bagus,,,,,,,,,,,,,,,,
52,halahgegayaandiacungin,senapan,ngompolkalo,suka,jokowi,cina,saja,love,jokowihaahaaa,,,,,,,,,,,,,,,,,,,,,,,
53,haha,iya,ci,jelek,ci,pinter,ci,nyusahin,ci,malesan,huwa,this,creepy,sound,can,u,guys,stop,i,knew,it,,,,,,,,,,,
54,izzuddin,islam,kak,so,nak,tutup,aurat,,,,,,,,,,,,,,,,,,,,,,,,,
55,ipar,sepupu,nyeritain,adik,pacar,chinese,beda,agama,paksa,putus,ngelirik,httpstcoxuoczjre,,,,,,,,,,,,,,,,,,,,
56,hiks,gamau,gambling,deh,takut,hape,gue,jelek,gabisa,puter,huhu,nunggu,ready,classic,ajaa,,,,,,,,,,,,,,,,,
57,wkwkwk,tau,tuh,dah,jelekanehngetik,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,islam,rugi,titik,debu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,sampe,gitu,lho,dah,rape,jokes,nglewatin,bates,jokes,agama,bukann,httpstcoixxdqclue,,,,,,,,,,,,,,,,,,,,
60,ngeluarin,unekunek,gue,simpan,also,the,reasons,why,am,i,always,changing,my,acc,every,or,mo,httpstcohuwqgxscv,,,,,,,,,,,,,,
61,media,sosial,palsu,lo,sikap,apa,khawatir,image,lo,jelek,tanggung,orang,miskin,pake,image,kaya,,,,,,,,,,,,,,,,
62,orang,gapernah,marah,anak,dapet,nilai,jelek,rumah,ejek,httpstcoinuaiggic,,,,,,,,,,,,,,,,,,,,,,
63,acara,milik,hak,paten,sah,agama,islam,httpstcoieilpnuo,,,,,,,,,,,,,,,,,,,,,,,,
64,hmm,upacara,mangkok,merah,sembarang,upacara,panggil,perang,suk,httpstcofnwcxoiv,,,,,,,,,,,,,,,,,,,,,,
65,cewek,cina,emang,cantikcantik,putih,bersih,mata,sipit,haduhhhhhh,,,,,,,,,,,,,,,,,,,,,,,
66,bagus,nyakalau,ngerti,islam,diam,suka,ngatain,orang,muslim,kau,kafirrrr,,,,,,,,,,,,,,,,,,,,,
67,sabar,ya,lia,jaring,jelek,kaya,,,,,,,,,,,,,,,,,,,,,,,,,,
68,karna,pendek,gabakal,pake,sih,gaboleh,agama,,,,,,,,,,,,,,,,,,,,,,,,,
69,kaum,dng,andal,agama,jadi,alat,politik,,,,,,,,,,,,,,,,,,,,,,,,,
70,btul,jayne,pinter,jg,dah,dbilang,gua,cina,kw,,,,,,,,,,,,,,,,,,,,,,,
71,ojo,lonte,lonthe,sundel,lacur,isin,malu,kelauargamu,paham,iman,agama,katholik,httpstcotstieadejx,,,,,,,,,,,,,,,,,,,
72,takutin,rian,servicenya,jelek,coach,malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,
73,berangkat,pergi,islam,pulang,rumah,udah,kristen,,,,,,,,,,,,,,,,,,,,,,,,,
74,jelek,mah,jelek,aja,nyembahnyembah,photoshop,biar,liat,keren,,,,,,,,,,,,,,,,,,,,,,,
75,gawat,kobar,nkri,cari,solusi,baik,langgar,hukum,proses,sesuai,hukum,suruh,cina,,,,,,,,,,,,,,,,,,,
76,niat,sholat,leceh,bgitu,ada,orang,aku,agama,islam,follow,httpstcofixflfkt,,,,,,,,,,,,,,,,,,,,,
77,dasar,kaum,kafir,aku,agama,islam,leceh,sholat,syetannn,lo,,,,,,,,,,,,,,,,,,,,,,
78,gue,ngerasa,cantik,iya,kalo,cowo,ngedekitin,langsung,ngerasa,anjing,lo,gacocok,gue,gue,jelek,ya,httpstcogqvspee,,,,,,,,,,,,,,,
79,dilaporin,duga,nista,agama,si,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,kapitalisme,balut,agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,inti,cari,celah,jual,dongeng,agama,kaya,raya,,,,,,,,,,,,,,,,,,,,,,,,
82,pansos,mah,banyakkkkk,yutuber,tuh,banget,gimmick,belaka,butuh,viewers,kara,httpstcoxswuo,,,,,,,,,,,,,,,,,,,,
83,iya,ih,jelek,banget,sumpah,mending,kek,aja,udah,ftonya,full,ngelebar,gtu,wkwkwk,,,,,,,,,,,,,,,,,,
84,oh,aceh,agama,buat,tolol,tinggal,agama,gua,tuhan,bajar,manusi,httpstcorvxyxyxje,,,,,,,,,,,,,,,,,,,,
85,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,kaga,rugi,keilangan,orang,islam,ngerti,agama,islam,pura,islam,,,,,,,,,,,,,,,,,,,,,,
87,gua,ghosting,gegara,beda,agama,trabas,trabas,atur,kasi,tips,amp,trick,gitu,loh,,,,,,,,,,,,,,,,,,
88,rencana,pilih,sistem,urus,baik,httpstcolkwmczvk,,,,,,,,,,,,,,,,,,,,,,,,,,
89,islam,hapus,agama,negara,bangladesh,perintah,perdana,menteri,bangladesh,sheikh,hasina,mu,httpstcotjmeewhu,,,,,,,,,,,,,,,,,,,
90,menteri,terang,muda,bangladesh,murad,hassan,amandemen,aju,parlemen,mungkin,httpstcoetqflrjosy,,,,,,,,,,,,,,,,,,,,,
91,gista,suka,panggil,dean,pake,nama,andra,kalo,manggil,dean,jelek,kayak,cewek,ya,emang,a,httpstcoslrpnjxts,,,,,,,,,,,,,,,
92,larang,agama,orang,prasangka,buruk,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,inti,thread,nih,orang,tuh,idol,gaboleh,gendut,idol,sempurna,kalo,idol,ngga,mati,httpstcocnddjoa,,,,,,,,,,,,,,,,,
94,agama,sejati,hidup,sungguh,hidup,jiwa,baik,amp,kebaji,duniabijak,,,,,,,,,,,,,,,,,,,,,,
95,ajar,cepet,temen,mu,udah,ajar,ntar,nilai,jelek,lohh,,,,,,,,,,,,,,,,,,,,,,
96,gtu,bu,biar,agama,ngomong,islam,klo,udah,murtad,,,,,,,,,,,,,,,,,,,,,,,
97,gua,mending,ngikut,paham,aja,deh,tetep,gimana,pu,httpstcopndlxfday,,,,,,,,,,,,,,,,,,,,,,
98,lelaki,je,syahwat,sekala,tengok,cermin,tu,ko,bini,ko,selera,ko,httpstcoiiazgkqjv,,,,,,,,,,,,,,,,,,,
99,noda,preman,kedok,agama,segel,masjid,jemaah,ahmadiyah,depok,httpstcohkulkvumo,,,,,,,,,,,,,,,,,,,,,,
100,gabut,bngt,anjing,sampe,bain,orang,becandain,agama,,,,,,,,,,,,,,,,,,,,,,,,
101,glucella,cerah,samar,noda,hitam,angkat,sel,kulit,mati,mmberi,nutrisi,kulit,bb,dfec,httpstcoxmiurio,,,,,,,,,,,,,,,,,
102,lgbt,emang,larang,agama,mana,privasi,help,,,,,,,,,,,,,,,,,,,,,,,,,
103,korang,tahufreemason,bantu,orangdan,orang,islam,larang,join,freem,httpstcoepbeilcs,,,,,,,,,,,,,,,,,,,,,,
104,berani,kalo,mood,gue,jelek,berani,nonton,,,,,,,,,,,,,,,,,,,,,,,,,
105,naah,mending,pindah,rusak,islam,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,takut,lo,jelek,tunggu,gemuk,keriput,,,,,,,,,,,,,,,,,,,,,,,,,,
107,aura,lho,abang,cina,bangetttt,munjunhui,pake,pelet,ya,kenceng,banget,beda,negara,manjur,httpstcormcljllsox,,,,,,,,,,,,,,,,,
108,jatuh,kek,nista,agama,sih,cmiw,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ketemu,foto,seonho,jujur,aja,gue,simpan,hehe,munafik,sih,gue,,,,,,,,,,,,,,,,,,,,,
110,wala,kaayo,hahahaha,akong,mga,ban,ras,waiting,shed,,,,,,,,,,,,,,,,,,,,,,,
111,hahahahahahahahahhahahahahahahahahahahahahahhahahahahaha,benda,kau,pandai,main,sentimen,melayu,,,,,,,,,,,,,,,,,,,,,,,,,
112,mamah,banget,ayah,aquarius,kalo,antem,mamah,tuh,gk,ngalah,mah,,,,,,,,,,,,,,,,,,,,,
113,mbundet,ras,nek,njelaske,nang,ayuk,,,,,,,,,,,,,,,,,,,,,,,,,,
114,sih,min,emang,hukum,islam,berat,hidup,manusia,bahas,manusia,islam,ya,,,,,,,,,,,,,,,,,,,,
115,hi,geng,teroris,anjingpeking,kadrun,katakgurun,gob,china,pki,radikal,pimpi,httpstcojwufjapin,,,,,,,,,,,,,,,,,,,,
116,dejun,wip,tpi,udah,nyerah,males,rambut,jelek,huhu,,,,,,,,,,,,,,,,,,,,,,,
117,kadrun,manusia,tuhan,agama,kadrun,buru,manusia,bunuh,httpstcoktutsgpkf,,,,,,,,,,,,,,,,,,,,,,,
118,sabar,ya,aily,jaring,jelek,kaya,,,,,,,,,,,,,,,,,,,,,,,,,,
119,diri,udah,sempurna,banget,sampe,ngomong,kaya,remindermu,perihal,obesitas,bagus,terimakasih,ba,httpstconemevrnvxc,,,,,,,,,,,,,,,,,,
120,kolerasi,hidup,kah,httpstconxpusbpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,tu,faham,orang,islam,kena,jem,httpstcofudtihtxf,,,,,,,,,,,,,,,,,,,,,,,,,
122,hshshs,nyakitin,adik,sedihin,jelek,saram,ya,dik,,,,,,,,,,,,,,,,,,,,,,,,
123,oh,bahai,alir,anggap,agama,kemaren,ngucap,agama,mere,httpstcocegbyttn,,,,,,,,,,,,,,,,,,,,,,
124,fpi,hti,larang,bahai,bela,takut,kualat,kh,hasyim,asyari,,,,,,,,,,,,,,,,,,,,,,
125,tu,ah,takda,ahli,jabat,agama,islam,sunderland,kaco,tu,sunyik,siket,,,,,,,,,,,,,,,,,,,,
126,leceh,islam,agama,diri,kalo,beda,mengand,httpstcoqvbygkz,,,,,,,,,,,,,,,,,,,,,,,,
127,sorang,je,peras,bini,kuat,paling,victim,dah,gin,hahaha,httpstcothspuuo,,,,,,,,,,,,,,,,,,,,,
128,susah,emang,ngomong,orang,udah,limut,benci,benci,apa,agama,ras,figur,httpstcodeiunyowr,,,,,,,,,,,,,,,,,,,
129,contoh,islam,bener,contoh,kristen,benerduanya,sesat,yahudi,mancampur,adukkanhny,mem,httpstcorstwodeb,,,,,,,,,,,,,,,,,,,,
130,sebenonya,kesi,tengok,orang,senang,kena,daya,pandang,luar,orang,nampak,berag,httpstcomvvpdvwiy,,,,,,,,,,,,,,,,,,,
131,smp,pacar,beda,agama,taun,trs,lost,kontak,taun,skrang,balik,jiakh,mang,bego,banget,si,mah,,,,,,,,,,,,,,,
132,beda,agama,nggak,sih,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,eh,luang,gue,saranin,nonton,konten,youtubenya,onad,deh,tanya,onad,nih,seputa,httpstcoepufzkvdcx,,,,,,,,,,,,,,,,,,
134,suami,isteri,mmg,byk,kali,kes,kat,tunggang,agama,kes,aniaya,kerja,,,,,,,,,,,,,,,,,,,,
135,menag,ucap,tahniah,bahai,dasar,bahai,islam,tinggal,tunggu,aja,ucap,tah,httpstcoszwuytzt,,,,,,,,,,,,,,,,,,,
136,sulit,percaya,luar,naral,tentang,logika,label,agama,lekat,httpstcogucfayth,,,,,,,,,,,,,,,,,,,,,,
137,mui,buka,suara,bahai,offside,komunitas,anggap,agama,httpstcopyp,,,,,,,,,,,,,,,,,,,,,,,
138,jujur,agama,tau,ajar,bab,wkwkwk,,,,,,,,,,,,,,,,,,,,,,,,,,
139,acah,otai,disiplin,malu,agama,sahaja,,,,,,,,,,,,,,,,,,,,,,,,,,
140,kpop,k,nya,kafir,jahat,setan,wallahi,gaksanggup,haram,,,,,,,,,,,,,,,,,,,,,,,
141,sudahlahdia,mnjabat,menteri,tanggung,allah,amanah,httpstcovnbfdqb,,,,,,,,,,,,,,,,,,,,,,,,,
142,agama,jadi,tolak,ukur,lihat,akhlak,wayah,urg,pakai,kedok,a,httpstcozoclqfkxc,,,,,,,,,,,,,,,,,,,,
143,sudahlahdia,mnjabat,menteri,tanggung,allah,amanah,httpstcovnbfdqb,,,,,,,,,,,,,,,,,,,,,,,,,
144,agama,jadi,tolak,ukur,lihat,akhlak,wayah,urg,pakai,kedok,a,httpstcozoclqfkxc,,,,,,,,,,,,,,,,,,,,
145,kafir,hai,tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,mui,ingat,perintah,offside,agama,bahai,httpstcooagnezfwr,,,,,,,,,,,,,,,,,,,,,,,,,
147,yaa,allahagama,bilang,islam,gera,sholat,pake,sajadah,naudzubillah,min,dzalik,,,,,,,,,,,,,,,,,,,,,
148,mui,ingat,perintah,offside,agama,bahai,httpstcooqjqooc,,,,,,,,,,,,,,,,,,,,,,,,,
149,basherrl,heh,kontol,jan,sok,mes,lu,rp,muka,kek,memek,orang,tua,lu,kek,monyet,agama,lu,aje,agama,kontol,,,,,,,,,,,
150,hahaha,benda,mesti,petik,pasal,agama,uji,,,,,,,,,,,,,,,,,,,,,,,,,
151,lol,perempuan,sabar,amenda,laki,lol,,,,,,,,,,,,,,,,,,,,,,,,,,
152,yassss,salah,petik,agama,sikit,ok,laa,play,victim,la,tunggang,laa,selagi,tunggang,hahahaharrei,,,,,,,,,,,,,,,,,
153,hebaat,nian,menag,sdh,ucapkn,selamat,naw,ruz,bahai,blm,aku,agama,resmi,republik,httpstcotrhhectli,,,,,,,,,,,,,,,,,
154,rasah,ngomomgke,ras,nek,agama,liyo,isih,tok,olok,kedok,darkjokes,,,,,,,,,,,,,,,,,,,,,
155,tunggang,agama,nama,maha,suci,allah,nak,tutup,bongkak,angkuh,kau,tu,httpstcofuknzqghl,,,,,,,,,,,,,,,,,,,
156,laki,bini,pon,bodohhhh,dah,terang,salah,nak,main,agama,pulak,konon,uji,oii,pe,httpstcoxqplfzviv,,,,,,,,,,,,,,,,
157,ikut,yahya,waloni,tolong,racun,radikalisme,udah,kayak,gin,ad,httpstcoxvnryock,,,,,,,,,,,,,,,,,,,,,
158,laki,bini,tunggang,agama,play,victim,hahahahah,sial,,,,,,,,,,,,,,,,,,,,,,,,
159,halah,kalo,udah,ngingetin,agama,aja,tunduk,pandang,lela,httpstcosbnhwgwbo,,,,,,,,,,,,,,,,,,,,,,
160,pas,kelas,gtu,dnger,guru,agama,kena,marah,ortunya,mikir,beda,agama,si,,,,,,,,,,,,,,,,,,,
161,beda,agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,sholat,dhuha,minggu,nder,pas,ajar,agama,doang,,,,,,,,,,,,,,,,,,,,,,,,
163,benci,fpi,pki,kaum,munafikun,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,orang,awam,gau,bahaiyah,bahaiyah,islam,bener,menag,era,jokowi,n,httpstcojvjxurtqa,,,,,,,,,,,,,,,,,,,,
165,ajar,agama,br,kemarin,sj,sok,sucikemunafikan,bersih,darah,httpstcoyudfkdiz,,,,,,,,,,,,,,,,,,,,,,
166,dah,kaya,auto,gila,bodoh,kot,sial,je,mulut,carl,carlkan,je,j,httpstcordzrkja,,,,,,,,,,,,,,,,,,
167,haaa,hahahha,lepadtu,tgk,statement,bini,adu,laki,bini,main,agama,adu,,,,,,,,,,,,,,,,,,,,
168,inti,agama,utk,jelekin,orang,lainhina,agama,orang,tsb,pantas,tinggal,say,httpstcodnsmtfb,,,,,,,,,,,,,,,,,,,
169,sembahyang,agama,bahai,aku,yakult,kek,gin,ya,menag,agama,bahai,dia,httpstcoxgikdohdvu,,,,,,,,,,,,,,,,,,,
170,sih,jamet,sok,iyeh,lu,tau,agama,lu,,,,,,,,,,,,,,,,,,,,,,,,
171,takut,ujung,korup,sumbang,korup,wes,angel,,,,,,,,,,,,,,,,,,,,,,,,,
172,bajing,lo,emeng,idiot,akut,tau,klo,negara,rusak,dagang,agama,httpstcorbumalxwd,,,,,,,,,,,,,,,,,,,,
173,orang,bal,review,resto,bigul,isi,komen,nya,salam,toleransi,ribet,banget,ye,orang,agama,,,,,,,,,,,,,,,,,
174,sorang,kes,jee,mula,start,tarbiah,islamik,tu,mcm,paling,aniaya,mcm,man,httpstcosonmdecza,,,,,,,,,,,,,,,,,,
175,kayak,mabuk,ciu,bener,agen,komunis,rusak,agama,,,,,,,,,,,,,,,,,,,,,,,,
176,lapas,piru,milik,kesiap,laksana,program,bina,bina,agama,islam,,,,,,,,,,,,,,,,,,,,,,
177,wikrama,jaya,bina,tuju,tingkat,sadar,laksana,ajaranaj,httpstcoxyoxpxcvth,,,,,,,,,,,,,,,,,,,,,,,
178,sdh,penuh,sarat,d,panggil,kadrun,goblok,alami,,,,,,,,,,,,,,,,,,,,,,,,
179,sukses,swasembada,radikal,radikul,laris,manis,jual,radikal,radikul,,,,,,,,,,,,,,,,,,,,,,,
180,berkmbang,kadrun,bukn,islam,seja,httpstcobpyzpft,,,,,,,,,,,,,,,,,,,,,,,,,,
181,xd,pulak,banyak,vaksin,orang,la,ikut,dajjal,paling,immune,paling,natural,paling,httpstcocudawetmj,,,,,,,,,,,,,,,,,,
182,tau,jd,orang,munafik,nusuk,tips,,,,,,,,,,,,,,,,,,,,,,,,,,
183,udah,mas,urus,aja,sifat,munafik,tweetmu,sok,sholat,likenya,bkep,wk,httpstcohbeurxxgbb,,,,,,,,,,,,,,,,,,,
184,buek,kumpul,urang,mang,anti,kadrun,uda,ambo,,,,,,,,,,,,,,,,,,,,,,,,
185,namaxa,leceh,dasar,sugi,kadrun,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,ras,nya,eropa,orang,hitam,asia,anggap,warga,kelas,dukung,,,,,,,,,,,,,,,,,,,,,,
187,alquran,malaikat,cabut,nyawa,orangorang,kafir,pukul,wa,httpstcotnjlkncdt,,,,,,,,,,,,,,,,,,,,,,,
188,bn,jilat,dap,kafir,harbi,sbb,duk,cari,makan,neng,sbb,malas,belajaq,,,,,,,,,,,,,,,,,,,
189,je,modal,dah,malu,orang,pastu,play,victim,pastu,tunggang,agama,mantop,melayu,,,,,,,,,,,,,,,,,,,
190,abad,silam,ilmuwan,italia,galileo,galilei,taruh,bebas,hidup,lem,httpstcowblgaur,,,,,,,,,,,,,,,,,,,,,
191,huft,virtual,beda,agama,hiks,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,agama,ilmu,buta,ilmu,agama,lumpuh,albert,einstein,,,,,,,,,,,,,,,,,,,,,,,,
193,dadak,bela,komunis,wkwkwk,ahh,muslim,abalabal,urus,negeri,,,,,,,,,,,,,,,,,,,,,,,
194,ya,lepas,hubung,suku,agama,ras,golong,indonesia,httpstcowayvbcegs,,,,,,,,,,,,,,,,,,,,,,,
195,kaget,udah,abadi,alquran,kalo,kaum,munafik,,,,,,,,,,,,,,,,,,,,,,,,,
196,sadly,fakta,orang,eropa,timur,udah,kenal,ras,,,,,,,,,,,,,,,,,,,,,,,,
197,pinter,mancing,kadrun,sarang,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,cuek,paham,agama,sih,agama,ktp,doang,,,,,,,,,,,,,,,,,,,,,,,,,
199,deket,banget,hubung,yesus,laku,domba,sesat,,,,,,,,,,,,,,,,,,,,,,,,,
200,jaman,orang,tua,ngerti,agama,nggak,mudah,percaya,hoax,privilege,banget,,,,,,,,,,,,,,,,,,,,,
201,bodo,siaa,orang,mcm,kepala,dorg,emang,orang,akal,kau,kmapungan,,,,,,,,,,,,,,,,,,,,,
202,nitip,bakiak,jejelin,mulut,manusia,munafik,dpr,,,,,,,,,,,,,,,,,,,,,,,,,
203,sentimen,agama,tsay,sekolah,bagus,swasta,d,ntt,yayasan,katolik,bapak,gamao,anak,kol,httpstcogfgsfdvn,,,,,,,,,,,,,,,,,
204,partai,teroris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,anjing,kadrun,khilafak,kenyangpiaraan,gabener,firaun,,,,,,,,,,,,,,,,,,,,,,,,,,
206,benci,orang,petikpetik,bab,agama,utk,cover,salah,biar,bodoh,ajar,bodoh,adab,,,,,,,,,,,,,,,,,,,
207,bangsa,yahudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,gua,tinggal,agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,percaya,orang,kulit,rada,gelap,laku,ras,sana,simpati,ras,jajah,afrikansinukraine,,,,,,,,,,,,,,,,,,,,
210,jaipong,sintreng,sopan,benci,banget,yak,kampret,emang,si,httpstcozohzfaxhft,,,,,,,,,,,,,,,,,,,,,,
211,halah,bacot,kipopshit,drag,idol,nyanyi,lipsync,meanwhile,si,munafik,munafik,kipopshit,drag,ido,httpstcoijlyjycvwf,,,,,,,,,,,,,,,,,
212,orang,awam,gau,bahaiyah,bahaiyah,islam,bener,menag,era,jokowi,n,httpstcojvjxurtqa,,,,,,,,,,,,,,,,,,,,
213,kst,papua,biadab,serang,bandara,ilaga,makan,korban,papuaadalahkita,httpstcocumnohayzk,,,,,,,,,,,,,,,,,,,,,,
214,efek,benci,komunis,lupa,tunggang,karna,bodoh,makan,probaganda,amerika,m,httpstcowrrdsifa,,,,,,,,,,,,,,,,,,,,
215,manusia,lampau,suku,ras,agama,keruhanian,,,,,,,,,,,,,,,,,,,,,,,,,,
216,dah,salah,play,victim,agama,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,si,hitam,si,putih,si,orang,butuh,khusus,orang,normal,eropa,emang,parah,banget,,,,,,,,,,,,,,,,,,
218,kadrun,pengin,tenarrsomah,bs,ajak,ngopi,,,,,,,,,,,,,,,,,,,,,,,,,,
219,beda,ama,ank,ips,bund,kek,gua,contohnyawalopun,sekolah,agama,,,,,,,,,,,,,,,,,,,,,,
