Ras,Agama,Netral
image,buat,senin
lo,tolol,oktober
jelek,tinggal,apel
tanggung,agama,pagi
orang,gua,pimpin
miskin,tuhan,wakil
pake,bajar,ketua
image,manusi,adil
kaya,httpstcorvxyxyxje,agama
btul,kaga,luwuk
jayne,rugi,nurmaidah
pinter,keilangan,shi
jg,orang,mh
dah,islam,httpstcokikjacdnkn
dbilang,ngerti,agama
gua,agama,konten
cina,islam,becandaan
kw,pura,sinting
ojo,islam,lu
lonte,islam,dukung
lonthe,hapus,suku
sundel,agama,dayak
lacur,negara,bilang
isin,bangladesh,himpun
malu,perintah,islam
kelauargamu,perdana,pas
paham,menteri,sholat
iman,bangladesh,aja
agama,sheikh,demo
katholik,hasina,dibubarin
httpstcotstieadejx,mu,emak
aura,httpstcotjmeewhu,emak
lho,menteri,pijarbangsa
abang,terang,bantu
cina,muda,bidang
bangetttt,bangladesh,spiritual
munjunhui,murad,msyarakat
pake,hassan,indonesia
pelet,amandemen,apa
ya,aju,agama
kenceng,parlemen,n
banget,mungkin,percaya
beda,httpstcoetqflrjosy,httpstcoyhrcddsfw
negara,gtu,oalah
manjur,bu,bujug
httpstcormcljllsox,biar,aku
hi,agama,islam
geng,ngomong,nggak
teroris,islam,salah
anjingpeking,klo,suka
kadrun,udah,httpstcoqicddkzcny
katakgurun,murtad,jelek
gob,noda,banget
china,preman,topeng
pki,kedok,kaya
radikal,agama,modal
pimpi,segel,hallo
httpstcojwufjapin,masjid,kak
kpop,jemaah,maaf
k,ahmadiyah,oot
nya,depok,pke
kafir,httpstcohkulkvumo,two
jahat,gabut,way
setan,bngt,cake
wallahi,anjing,httpstcohciadllf
gaksanggup,sampe,hasil
haram,bain,gawe
benci,orang,balik
fpi,becandain,semak
pki,agama,tah
kaum,kadrun,dubes
munafikun,manusia,jahat
dah,tuhan,teroris
kaya,agama,internasional
auto,kadrun,servis
gila,buru,nya
bodoh,manusia,jelek
kot,bunuh,gimana
sial,httpstcoktutsgpkf,main
je,oh,bagus
mulut,bahai,gue
carl,alir,hhh
carlkan,anggap,diabisin
je,agama,adin
j,kemaren,anjing
httpstcordzrkja,ngucap,udah
ras,agama,tau
nya,mere,adin
eropa,httpstcocegbyttn,main
orang,fpi,bagus
hitam,hti,halahgegayaandiacungin
asia,larang,senapan
anggap,bahai,ngompolkalo
warga,bela,suka
kelas,takut,jokowi
dukung,kualat,cina
sadly,kh,saja
fakta,hasyim,love
orang,asyari,jokowihaahaaa
eropa,tu,izzuddin
timur,ah,islam
udah,takda,kak
kenal,ahli,so
ras,jabat,nak
bodo,agama,tutup
siaa,islam,aurat
orang,sunderland,ipar
mcm,kaco,sepupu
kepala,tu,nyeritain
dorg,sunyik,adik
emang,siket,pacar
orang,leceh,chinese
akal,islam,beda
kau,agama,agama
kmapungan,diri,paksa
nitip,kalo,putus
bakiak,beda,ngelirik
jejelin,mengand,httpstcoxuoczjre
mulut,httpstcoqvbygkz,hiks
manusia,sorang,gamau
munafik,je,gambling
dpr,peras,deh
partai,bini,takut
teroris,kuat,hape
percaya,paling,gue
orang,victim,jelek
kulit,dah,gabisa
rada,gin,puter
gelap,hahaha,huhu
laku,httpstcothspuuo,nunggu
ras,contoh,ready
sana,islam,classic
simpati,bener,ajaa
ras,contoh,islam
jajah,kristen,rugi
afrikansinukraine,benerduanya,titik
jaipong,sesat,debu
sintreng,yahudi,sampe
sopan,mancampur,gitu
benci,adukkanhny,lho
banget,mem,dah
yak,httpstcorstwodeb,rape
kampret,menag,jokes
emang,ucap,nglewatin
si,tahniah,bates
httpstcozohzfaxhft,bahai,jokes
halah,dasar,agama
bacot,bahai,bukann
kipopshit,islam,httpstcoixxdqclue
drag,tinggal,ngeluarin
idol,tunggu,unekunek
nyanyi,aja,gue
lipsync,ucap,simpan
meanwhile,tah,also
si,httpstcoszwuytzt,the
munafik,kafir,reasons
munafik,hai,why
kipopshit,tu,am
drag,mui,i
ido,ingat,always
httpstcoijlyjycvwf,perintah,changing
kst,offside,my
papua,agama,acc
biadab,bahai,every
serang,httpstcooagnezfwr,or
bandara,yaa,mo
ilaga,allahagama,httpstcohuwqgxscv
makan,bilang,orang
korban,islam,gapernah
papuaadalahkita,gera,marah
httpstcocumnohayzk,sholat,anak
efek,pake,dapet
benci,sajadah,nilai
komunis,naudzubillah,jelek
lupa,min,rumah
tunggang,dzalik,ejek
karna,mui,httpstcoinuaiggic
bodoh,ingat,acara
makan,perintah,milik
probaganda,offside,hak
amerika,agama,paten
m,bahai,sah
httpstcowrrdsifa,httpstcooqjqooc,agama
si,basherrl,islam
hitam,heh,httpstcoieilpnuo
si,kontol,hmm
putih,jan,upacara
si,sok,mangkok
orang,mes,merah
butuh,lu,sembarang
khusus,rp,upacara
orang,muka,panggil
normal,kek,perang
eropa,memek,suk
emang,orang,httpstcofnwcxoiv
parah,tua,cewek
banget,lu,cina
ayah,kek,emang
campur,monyet,cantikcantik
suku,agama,putih
dayak,lu,bersih
kalimantan,aje,mata
jawa,agama,sipit
timur,kontol,haduhhhhhh
jawa,yassss,sabar
tulen,salah,ya
anak,petik,lia
kayak,agama,jaring
jadi,sikit,jelek
masuk,ok,kaya
httpstcoocwnknsrk,laa,karna
sakit,play,pendek
hati,victim,gabakal
mending,la,pake
sadar,tunggang,sih
cantik,laa,gaboleh
lu,selagi,agama
jelekdia,tunggang,kaum
good,hahahaharrei,dng
loking,tunggang,andal
lu,agama,agama
gembel,nama,jadi
ras,maha,alat
badut,suci,politik
keren,allah,takutin
kampung,nak,rian
soksokan,tutup,servicenya
bicara,bongkak,jelek
pecah,angkuh,coach
belah,kau,malaysia
emang,tu,berangkat
kawan,httpstcofuknzqghl,pergi
orang,ikut,islam
papua,yahya,pulang
orang,waloni,rumah
papua,tolong,udah
aja,racun,kristen
kalo,radikalisme,jelek
jawa,udah,mah
httpstcorrnqwuw,kayak,jelek
kgen,gin,aja
banget,ad,nyembahnyembah
jamn,httpstcoxvnryock,photoshop
gda,laki,biar
panyakit,bini,liat
cina,tunggang,keren
asu,agama,gawat
biar,play,kobar
orang,victim,nkri
sina,hahahahah,cari
indonesai,sial,solusi
cina,halah,baik
warga,kalo,langgar
bawa,udah,hukum
sakit,ngingetin,proses
orang,agama,sesuai
papua,aja,hukum
injak,tunduk,suruh
emang,pandang,cina
layak,lela,niat
sihh,httpstcosbnhwgwbo,sholat
httpstcondxmxlbld,orang,leceh
kalimantan,awam,bgitu
layak,gau,ada
jadi,bahaiyah,orang
kota,bahaiyah,aku
nyang,islam,agama
sana,bener,islam
kadrun,menag,follow
cina,era,httpstcofixflfkt
goblok,jokowi,gue
banget,n,ngerasa
fpi,httpstcojvjxurtqa,cantik
diri,ajar,iya
tolol,agama,kalo
cuman,br,cowo
patok,kemarin,ngedekitin
hidup,sj,langsung
agama,sok,ngerasa
nalar,sucikemunafikan,anjing
main,bersih,lo
ya,darah,gacocok
aja,httpstcoyudfkdiz,gue
bohong,haaa,gue
tuhan,hahahha,jelek
kasih,lepadtu,ya
rejeki,tgk,httpstcogqvspee
tuha,statement,dilaporin
httpstcojipmvgezjt,bini,duga
orang,adu,nista
cina,laki,agama
percaya,bini,si
mesti,main,pansos
sedap,agama,mah
beda,adu,banyakkkkk
cerita,inti,yutuber
kalo,agama,tuh
orang,utk,banget
indo,jelekin,gimmick
jelek,orang,belaka
klodia,lainhina,butuh
jawab,agama,viewers
kalo,orang,kara
asumsi,tsb,httpstcoxswuo
mbak,pantas,iya
orang,tinggal,ih
papua,say,jelek
injak,httpstcodnsmtfb,banget
httpstcondxmxlbld,sembahyang,sumpah
jelek,agama,mending
klodia,bahai,kek
hmm,aku,aja
nak,yakult,udah
maghrib,kek,ftonya
dlu,gin,full
member,ya,ngelebar
tu,menag,gtu
cina,agama,wkwkwk
hahaha,bahai,name
okay,dia,gua
tq,httpstcoxgikdohdvu,ghosting
info,sih,gegara
kulit,jamet,beda
putih,sok,agama
ancen,iyeh,trabas
sik,lu,trabas
ras,tau,atur
tibake,agama,kasi
yo,lu,tips
gk,bajing,amp
g,lo,trick
b,emeng,gitu
l,idiot,loh
k,akut,rencana
manggut,tau,pilih
sj,klo,sistem
kyk,negara,urus
kebo,rusak,baik
dicucok,dagang,httpstcolkwmczvk
hidung,agama,gista
kadrun,httpstcorbumalxwd,suka
nama,sorang,panggil
rusuh,kes,dean
bln,jee,pake
me,mula,nama
httpstcoiejirbpg,start,andra
pbb,tarbiah,kalo
sarang,islamik,manggil
orang,tu,dean
munafik,mcm,jelek
kecut,paling,kayak
amp,aniaya,cewek
cundang,mcm,ya
rakyat,man,emang
palestine,httpstcosonmdecza,a
bunuh,kayak,httpstcoslrpnjxts
israel,mabuk,larang
g,ciu,agama
httpstconzmcrumz,bener,orang
jorok,agen,prasangka
cina,komunis,buruk
anjing,rusak,inti
bawak,agama,thread
sampah,sdh,nih
buang,penuh,orang
kemari,sarat,tuh
gila,d,idol
cina,panggil,gaboleh
anak,kadrun,gendut
titan,goblok,idol
kali,alami,sempurna
ya,sukses,kalo
kaya,swasembada,idol
film,radikal,ngga
india,radikul,mati
kaya,laris,httpstcocnddjoa
bebas,manis,agama
miskin,jual,sejati
tindas,radikal,hidup
wkwkwkwkwk,radikul,sungguh
jelek,berkmbang,hidup
banget,kadrun,jiwa
kalo,bukn,baik
kiyong,islam,amp
wamil,seja,kebaji
jg,httpstcobpyzpft,duniabijak
agustus,xd,ajar
gue,pulak,cepet
pake,banyak,temen
meme,vaksin,mu
jelek,orang,udah
ko,la,ajar
dasar,ikut,ntar
cina,dajjal,nilai
babi,paling,jelek
httpstconhyhipuy,immune,lohh
jelek,paling,gua
jelek,natural,mending
sih,paling,ngikut
dimasukkin,httpstcocudawetmj,paham
kpoper,tau,aja
kayak,jd,deh
lo,orang,tetep
bikin,munafik,gimana
kpop,nusuk,pu
jelek,tips,httpstcopndlxfday
mata,udah,lelaki
orangorang,mas,je
basherrl,urus,syahwat
heh,aja,sekala
kontol,sifat,tengok
jan,munafik,cermin
sok,tweetmu,tu
mes,sok,ko
lu,sholat,bini
rp,likenya,ko
muka,bkep,selera
kek,wk,ko
memek,httpstcohbeurxxgbb,httpstcoiiazgkqjv
orang,namaxa,glucella
tua,leceh,cerah
lu,dasar,samar
kek,sugi,noda
monyet,kadrun,hitam
agama,alquran,angkat
lu,malaikat,sel
aje,cabut,kulit
agama,nyawa,mati
kontol,orangorang,mmberi
anak,kafir,nutrisi
aneh,pukul,kulit
jelek,wa,bb
cantik,httpstcotnjlkncdt,dfec
jelek,bn,httpstcoxmiurio
emang,jilat,lgbt
bener,dap,emang
sapi,kafir,larang
jelek,harbi,agama
banget,sbb,mana
nying,duk,privasi
jelek,cari,help
banget,makan,korang
lu,neng,tahufreemason
shuchan,sbb,bantu
jelek,malas,orangdan
suka,belajaq,orang
nyakitin,je,islam
untung,modal,larang
doi,dah,join
ganteng,malu,freem
hhe,orang,httpstcoepbeilcs
negro,pastu,berani
negro,play,kalo
negro,victim,mood
ayat,pastu,gue
banker,tunggang,jelek
kau,agama,berani
kerja,mantop,nonton
bankek,melayu,naah
ha,dadak,mending
ha,bela,pindah
ha,komunis,rusak
bagus,wkwkwk,islam
bank,ahh,takut
yahudi,muslim,lo
la,abalabal,jelek
perangai,urus,tunggu
kesi,negeri,gemuk
rakyat,kaget,keriput
udah,udah,jatuh
jelek,abadi,kek
brengsek,alquran,nista
fulm,kalo,agama
mafia,kaum,sih
megah,munafik,cmiw
wang,pinter,ketemu
nama,mancing,foto
kebaji,kadrun,seonho
bijaksana,sarang,jujur
kaum,cuek,aja
agama,paham,gue
kerja,agama,simpan
pangkat,sih,hehe
hutang,agama,munafik
dadah,ktp,sih
bebas,doang,gue
konek,deket,wala
puki,banget,kaayo
sentiasa,hubung,hahahaha
basah,yesus,akong
foad,laku,mga
gaya,domba,ban
politis,sesat,ras
kampung,anjing,waiting
ras,kadrun,shed
hilang,khilafak,hahahahahahahahahhahahahahahahahahahahahahahhahahahahaha
hidup,kenyangpiaraan,benda
orang,gabener,kau
papua,firaun,pandai
banggsa,bangsa,main
papua,yahudi,sentimen
status,orang,melayu
jajah,awam,mamah
kolonial,gau,banget
papuanlivesmatter,bahaiyah,ayah
freewestpapua,bahaiyah,aquarius
sohib,islam,kalo
th,bener,antem
temenan,menag,mamah
cantik,era,tuh
kek,jokowi,gk
berbi,n,ngalah
bilang,httpstcojvjxurtqa,mah
kalo,dah,mbundet
cantik,salah,ras
dsb,play,nek
pas,victim,njelaske
mabok,agama,nang
pas,kadrun,ayuk
mabok,pengin,sih
bilang,tenarrsomah,min
re,bs,emang
cantik,ajak,hukum
si,ngopi,islam
liat,gatau,berat
tua,kafir,hidup
ya,baris,manusia
jelek,jongos,bahas
ya,pki,manusia
duit,kafir,islam
cakep,simbol,ya
insecure,simbol,dejun
gaes,agama,wip
orang,slalu,tpi
insecure,dipake,udah
ya,nutupi,nyerah
allah,hasrat,males
nsfw,bejat,rambut
iya,kadrun,jelek
catboy,httpstcooncaukvht,huhu
jelek,jd,sabar
r,zombie,ya
ya,agama,aily
allah,miskin,jaring
plsldfsls,suruh,jelek
nabbb,syukur,kaya
iya,bikin,diri
anjing,happy,udah
gue,nyata,sempurna
ken,ttp,banget
dilf,miskin,sampe
gapapa,gaduh,ngomong
sih,hei,kaya
kontlnya,bapok,remindermu
gede,tua,perihal
ah,sampuk,obesitas
icic,isu,bagus
fandango,nak,terimakasih
oh,salak,ba
and,ko,httpstconemevrnvxc
that,kafir,kolerasi
guy,sibuk,hidup
too,masuk,kah
huh,islam,httpstconxpusbpo
good,me,tu
taste,httpstcoefxivllk,faham
jelek,islam,orang
banget,misoginis,islam
warung,diskriminatif,kena
jelek,opresif,jem
nih,darimana,httpstcofudtihtxf
komplit,islam,hshshs
aparat,tuh,nyakitin
aman,agama,adik
duga,damai,sedihin
laku,islam,jelek
salah,daya,saram
warga,kau,ya
papua,httpstcomhppignx,dik
keji,trus,susah
biadab,hijab,emang
korban,dibully,ngomong
hardik,persekusi,orang
bentak,apa,udah
seret,damaimemberdayakan,limut
injak,dasar,benci
kepala,kafir,benci
rasisme,halal,apa
orang,darah,agama
papua,memp,ras
tanam,httpstcoxxkqlhc,figur
pikir,ya,httpstcodeiunyowr
aparat,kalo,sebenonya
kontra,menang,kesi
sih,nya,tengok
i,kaga,orang
guess,ngarti,senang
ngatain,agama,kena
jelek,lagu,daya
bom,sumpah,pandang
dengerin,enek,luar
jelek,beud,orang
anjing,liat,nampak
muka,komuk,berag
kayak,nye,httpstcomvvpdvwiy
monyet,bahai,smp
ayo,ahmadiyyah,pacar
bikin,habib,beda
akun,abubakar,agama
twt,assegaf,taun
utk,alir,trs
cp,sesat,lost
cina,anggap,kontak
kalo,agama,taun
ngerasa,httpstcosljcfvg,skrang
jelek,fpi,balik
mending,maksud,jiakh
sirik,ny,mang
deh,ajar,bego
jelek,dr,banget
jelek,fpi,si
ambil,rajin,mah
mantap,tolong,beda
papua,orang,agama
buzzerp,susah,nggak
bikin,bkn,sih
partai,rajin,eh
dungu,nimbun,luang
beda,h,gue
ras,httpstcomvirwqh,saranin
ya,bodoh,nonton
anak,jual,konten
istri,agama,youtubenya
nya,petir,onad
bapak,sembarang,deh
bule,petir,tanya
dasar,datang,onad
jelek,hati,nih
jelek,tir,seputa
banget,kafir,httpstcoepufzkvdcx
dr,sembarang,suami
singa,kafir,isteri
monyet,udah,mmg
indo,kafir,byk
jelek,koq,kali
bahan,melipir,kes
orang,radikal,kat
standar,tuh,tunggang
masingmasing,adzan,agama
manurut,gonggong,kes
si,anjing,aniaya
a,maling,kerja
jelek,bansos,sulit
pikir,tag,percaya
ngerasa,masjidil,luar
jelek,haram,naral
lu,tugasmumengayomi,tentang
tetangga,httpstcobmgfzmvwrg,logika
si,anak,label
ketua,kafir,agama
aja,cuman,lekat
botak,ngelike,httpstcogucfayth
jelek,aja,mui
rem,wooooo,buka
diorg,bahai,suara
mmg,pake,bahai
xikut,dalil,offside
demo,sempurna,komunitas
cuba,ajar,anggap
tnya,agama,agama
orang,adopsi,httpstcopyp
cina,ajar,jujur
diorg,httpstcowuwxemnqm,agama
sanggup,muslim,tau
terima,islam,ajar
icerd,nusantara,bab
jd,anus,wkwkwk
mcm,munafik,acah
cina,usak,otai
indonesia,islam,disiplin
hilang,lurus,malu
identiti,sunah,agama
sbgai,wal,sahaja
orang,jamaah,sudahlahdia
cina,httpstcoezkutjzkz,mnjabat
ckp,agama,menteri
cina,gua,tanggung
xreti,agama,allah
nama,sesat,amanah
cina,bos,httpstcovnbfdqb
xboleh,agama,agama
awk,lo,jadi
butthurt,agama,tolak
sgt,sesat,ukur
knp,mana,lihat
ye,kadrun,akhlak
beda,suka,wayah
ras,bolakbalik,urg
kack,goreng,pakai
beda,salah,kedok
spesies,provokasi,a
iya,kelompok,httpstcozoclqfkxc
kack,httpstcostosscknw,sudahlahdia
bule,lo,mnjabat
adik,urusin,menteri
yoshi,aja,tanggung
tresur,agama,allah
jelek,aku,amanah
banget,indonesia,httpstcovnbfdqb
emang,pake,agama
wek,lagu,jadi
jelek,ngurusin,tolak
banget,agama,ukur
main,nyang,lihat
jonatan,kagak,akhlak
christie,j,wayah
hensem,httpstcoedcjfjzbwh,urg
eh,bela,pakai
player,pimpin,kedok
badminton,iman,a
singapore,klo,httpstcozoclqfkxc
indo,bela,hahaha
tahandua,kafir,benda
muka,habib,mesti
cina,zein,petik
ay,asegaf,pasal
kaya,httpstcofqoloekjke,agama
kalo,singkir,uji
kurus,khianat,lol
cantik,bela,perempuan
banget,teroris,sabar
deh,baris,amenda
bacot,kafir,laki
lo,ngeri,lol
udah,sih,hebaat
kurus,hasrat,nian
jelek,orang,menag
eeaaaa,mati,sdh
order,anti,ucapkn
suntik,radikal,selamat
gantung,otak,naw
ama,keri,ruz
cina,muslim,bahai
budak,bahaya,blm
hahahhaa,munafik,aku
ngeri,cebong,agama
gimana,kadrun,resmi
fetish,kadrun,republik
tangan,cebong,httpstcotrhhectli
bikin,pecat,rasah
jelek,doi,ngomomgke
ndakikndakik,langsung,ras
bicara,kadrun,nek
rasisme,nih,agama
orang,islam,liyo
ambon,yater,isih
jawa,tindas,tok
panggil,loh,olok
panggil,indonesia,kedok
ras,sa,darkjokes
bullshit,httpstcobglynrwjhc,laki
la,gus,bini
sbb,yaqut,pon
mix,jaga,bodohhhh
malay,ancam,dah
chinese,pki,terang
kau,dukung,salah
ckp,khilafah,nak
bangsa,internasional,main
cina,alias,agama
rakyat,kadrun,pulak
malay,tugasmumengayomi,konon
httpstcotdgwlahxxn,httpstcocpoherz,uji
jelek,tasyabbuh,oii
anjing,golong,pe
muka,orang,httpstcoxqplfzviv
loe,kafir,pas
idung,islam,kelas
kayak,ajar,gtu
babi,mati,dnger
aja,lahir,guru
bangga,httpstcoqrexwkkrli,agama
negro,jaman,kena
power,orba,marah
jelek,perintah,ortunya
ganteng,ucap,mikir
gua,selamat,beda
terlau,pd,agama
orangorang,agama,si
bodoh,aku,beda
seragam,resmi,agama
bahaya,sekrg,sholat
jelek,bahai,dhuha
banget,yupz,minggu
anjing,salam,nder
ude,kafir,pas
jlek,tolol,ajar
brisik,kau,agama
kecam,ngurusi,doang
bunuh,iman,takut
anak,agama,ujung
muda,orang,korup
km,yahudi,sumbang
nyawa,salah,korup
orang,selamat,wes
islam,agama,angel
mang,aku,orang
harga,negara,bal
warga,httpstcohotdddaes,review
papua,biarpun,resto
diinjek,bahai,bigul
kepala,klaim,isi
ya,agama,komen
goblok,sendiri,nya
bilang,ibadah,salam
ras,akidah,toleransi
kulit,noda,ribet
putih,islam,banget
asia,httpstcoinrkokhjkv,ye
timur,kene,orang
gua,kecam,agama
tu,la,lapas
heran,main,piru
dah,sentimen,milik
sih,agama,kesiap
produk,odoooo,laksana
cina,orang,program
tuh,tunggang,bina
bahasa,selagi,bina
inggris,bgtlh,agama
nya,lucu,islam
gatau,hidup,wikrama
emang,kitab,jaya
ngelawak,suci,bina
emang,penuh,tuju
parah,metafora,tingkat
saran,mengimanimeyakini,sadar
perintah,babi,laksana
hati,buta,ajaranaj
cina,a,httpstcoxyoxpxcvth
negro,httpstcolpbhyhsdob,buek
things,annoying,kumpul
ahahah,gila,urang
jelek,husband,mang
banget,and,anti
mata,wife,kadrun
jereng,ja,uda
jelek,stop,ambo
jawab,butang,abad
kalo,agama,silam
asumsi,geram,ilmuwan
mbak,je,italia
orang,agama,galileo
papua,kafir,galilei
injak,diselametin,taruh
kepala,gilir,bebas
laku,agama,hidup
kasar,selamat,lem
tangan,marjinal,httpstcowblgaur
aparat,otak,huft
mabuk,mana,virtual
hiperbola,sih,beda
gitu,makhluq,agama
aja,namec,hiks
berita,kwahiyo,agama
orang,wewe,ilmu
papua,kafir,buta
injak,unafananisha,ilmu
kepala,uislam,agama
diberitain,na,lumpuh
tvone,ugaidi,albert
mabuk,zikir,einstein
malak,follow,ya
aneh,followfollowfollow,lepas
gila,menteri,hubung
cina,agama,suku
anak,dukung,agama
titan,kyai,ras
kali,as,golong
ya,takut,indonesia
jelek,yahudi,httpstcowayvbcegs
apa,pesek,jaman
hati,taek,orang
tetep,land,tua
aja,umum,ngerti
jelek,as,agama
wkwk,larang,nggak
attitud,warga,mudah
nya,ri,percaya
bagus,httpstcoqwvorrckwu,hoax
kalo,kuliah,privilege
muka,kampus,banget
jelek,orientasi,sentimen
tetep,ilmu,agama
aja,agama,tsay
jelek,jurus,sekolah
wkwk,emang,bagus
jorok,akhlak,swasta
cina,minus,d
anjing,ya,ntt
bawak,minus,yayasan
sampah,nya,katolik
buang,ajar,bapak
kemari,ngaji,gamao
jelek,ponpes,anak
banget,benarbenar,kol
sih,suci,httpstcogfgsfdvn
emang,negara,benci
bibin,agama,orang
kaya,beres,petikpetik
nama,bunuh,bab
bantu,laskar,agama
jelek,fpi,utk
klodia,bawa,cover
ngarang,surat,salah
liat,tugas,biar
fitnah,akun,bodoh
kadrun,medsos,ajar
jokowi,djoko,bodoh
pki,edhi,adab
jokowi,retas,gua
antek,httpstcohiyqpzllhi,tinggal
cina,candu,agama
httpstcokzfpqbeds,parah,manusia
jelek,agama,lampau
banget,obat,suku
ew,sembuh,ras
cupu,dosis,agama
cupu,logika,keruhanian
u,kala,beda
nahhh,sholatnya,ama
gitu,agama,ank
joo,bahai,ips
sabar,rakaat,bund
kalo,httpstconwnvuyeu,kek
pede,orang,gua
netting,kaya,contohnyawalopun
angkat,suka,sekolah
aja,ayat,agama
jan,uji,sumbang
nanggung,kene,pas
defence,sabar,negara
mu,pahala,wujud
jelek,salah,ramai
anjing,la,tunggang
dirga,dah,agama
bilang,httpstcomranniu,negeri
selera,bahai,pas
jelek,agama,meri
emang,sendiri,httpstcoxyyeueyik
cakep,bang,duhh
nama,pakai,paham
bian,islaam,anjing
orang,httpstcoizlrbmlodt,ras
jelek,lillahitaala,sih
si,mudah,bodoh
turut,gelap,banget
iyaaa,mata,ngehujat
anjjirrr,pandang,kalimantan
nenget,konon,ngakunya
rambut,ikhl,orang
keriting,httpstcotxblatkl,kota
cabul,agama,tolol
anj,bahai,httpstcoedxrmgvl
wkwkkw,sekutu,agama
negro,syiah,pon
fascista,kafir,ajar
jelek,agama,malu
anjing,nya,orang
asli,syiah,orang
jujur,karna,ramai
orang,bahai,warga
ngetest,pecah,emas
suara,syiah,lagi
annoying,httpstcocmkzryu,hmm
jelek,apa,some
gausah,agama,respect
senyum,tuhan,debat
kau,tuhan,agama
depan,keliru,yaa
ku,ego,kalo
kntl,bangsa,aku
jelek,sama,akuan
kau,manusiamaupun,j
babi,haiwan,httpstcoizyebgcha
httpstcooggzvg,hias,krisis
jawab,nyawa,agama
kalo,apa,ya
asumsi,sembah,allah
mbak,tuhan,nya
orang,sembah,kristen
papua,buat,yaaa
injak,asa,lembaga
httpstcondxmxlbld,megah,uang
jelek,sampean,syariah
miskin,speak,tetap
udah,hti,menteri
kristen,sesat,agama
cantikpinterjago,fpi,ri
nuyanyicino,sesat,lembaga
jawa,salaf,terima
jago,sesat,wa
masakkaya,sampean,httpstcoacevoae
udah,kayak,dah
httpstcoocieygamq,standar,start
yaudah,ganda,dah
jawa,hehe,paling
jelek,gua,agama
kampung,ngerekam,konon
httpstcokpplggyjo,suara,duga
jelek,gue,uji
banget,jelek,la
orang,anjing,apalancau
papua,bisabisanya,eh
kaya,temen,perempuan
monyet,gue,mmg
lelaki,nyeletuk,bodoh
melayu,tim,laki
kuat,record,bini
insecure,cina,eyy
size,negara,httpstcoazjozlhmt
