username,tweet,label
hyejibluemingg,"bagus kak!
  makasii udh mau coverin My UniverseÃ°Å¸Â¥ÂºÃ°Å¸â€™Å“Ã°Å¸â€™Å“",Netral
mrsjimnie_,Bukan mau munafik siapa sih yg tdk mau cantik tapi kita bisa apa kalau Tuhan yg berkehendak beri kita rupa yg berbeÃ¢â‚¬Â¦ https://t.co/cizaro188X,Netral
gatotsuhiro,VIRAL Undangan Upacara SUDHI WADANI... Sukmawati Sukarno Putri Kembali ke Agama Hindu?? https://t.co/Agi9De60mO,Netral
iyegakjaehyun,"@AE_Cosmoz Si paling pinter alias tolol ngetttt emang, mana mau anak sm nyebutin klinik kecantikannya soalnya bukanÃ¢â‚¬Â¦ https://t.co/uny44plcHY",Ras
kentvrama,"@aimrod Ã‚Â±80% penduduk indo (muslim) nggak akan peduli isu-isu sosbud-asusila kecuali menista agama/nabi/ulama
  sampeÃ¢â‚¬Â¦ https://t.co/Igb3Ba0wvm",Netral
tukanggampar,minta dikeplak,Netral
Maryono88328074,@joeallan23 @Yuliati29211086 @Michael57747115 @b4ifern Siapa lagi kalau bukan kaum kadrun yg sok islami...mereka reÃ¢â‚¬Â¦ https://t.co/er4DwK8fQu,Agama
mockdotexe,Wkakwkakwoakwoakakwkakw jilat artis gak gini juga bang Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­,Netral
ikankoki28,"@Hiibabycute @bukanlalisa @scztai gabutnya jelek banget ya bangsat, jadi gemes pen cubit alisnya",Ras
AcimAli1,@fadlizon Org banyak berprasangka buruk.....itu di karang agama Fadli...berprasangka baik la ....,Netral
newsutdofficial,Paul Pogba tentang masuk Islam: Ã¢â‚¬Å“Saya pikir itu telah memberi saya identitas. Kadang-kadang Anda mempertanyakan hidÃ¢â‚¬Â¦ https://t.co/PVtndDEktm,Netral
monsieurCQrnmAn,"@SmokeOnTheAir1 azer gatau knp, syiah juga sih disana cuma ga religius.
  Kalo alban, bosnia, kosovo karena perang etÃ¢â‚¬Â¦ https://t.co/mEkFsWGO7a",Netral
radixwp,"@Behrouz45 @ghazafia @math_sea @CNNIndonesia @RTErdogan @rterdogan_ar @EmineErdogan ""Beragama itu psti berTUHAN""? EÃ¢â‚¬Â¦ https://t.co/eXnUzAE2b7",Netral
maidahaha,"@dimas_zagi sumpah kek gaada ide lain astaga, mana jelek bgt juga",Netral
AbdulAz53875859,@TofaTofa_id Calon mentri agama dari partai ummat,Netral
pa_luwuk,"Senin, 18 Oktober 2021.
  Apel Pagi dipimpin oleh Wakil Ketua Pengadilan Agama Luwuk, Ibu Nurmaidah, SHI., MH.Ã¢â‚¬Â¦ https://t.co/KIKjaCdnkN",Netral
focuseyelove,Ka'bah islam anjing edan. Islam agama salah. https://t.co/ikP8MDZFuI,Agama
your4everbestie,@papidisini @scztai Agama jadi konten becandaan. Sinting lu.,Netral
FajarSa43628084,@kr1t1kp3d45 Aku mendukung suku dayak.,Netral
jaewoon_six,@AREAJULID Bilangnya himpunan islam tp pas waktu sholat aja msh demo ampe dibubarin emak emak dulu,Netral
aurapekasih17,#pijar_bangsa siap embantu dlm segala bdang #spiritual di msyarakat #Indonesia apapun agama n kepercayaannya. https://t.co/YhrCdDS9Fw,Netral
thelvin_fa,"@democrazymedia Oalah, bujug!!! 
  Jadi selama ini dia mengaku Islam???
  
  Apa nggak salah ?
  Soalnya kan dia tidak sukaÃ¢â‚¬Â¦ https://t.co/qICDDkZcNy",Netral
squishsancheeks,@moviemenfes Jelek banget topengnya ky ga modal,Netral
rohmah_dedeh,"@raaiin03 @__alul_ @bigwinovmbr @bjdkenn @ohmybeautybank Hallo kak maaf oot, aku mau nnya cara pke two way cake ygÃ¢â‚¬Â¦ https://t.co/HcI43ADllF",Netral
nerr_oleander,"@jeannb0yy Sebenernya yang bikin bagus itu muka dazai, coba kalo dazai jelek pasti jadi jelek jg WKOSKEKEKEK",Ras
ananda2906,"@jessicaberliin mending yg bajingan, gak MUNAFIK Ã°Å¸ËœÅ½Ã°Å¸ËœÅ½",Agama
mancall_look77,Hasil gawe dibalik semak2 tah?!? Ã°Å¸Ëœï†,Netral
yesaa_queendom,@dennysirregar7 Kadrun ibliss dhajjall,Agama
Keluar_Gua,@Pelangi75673271 Jadi dubes untuk penjahat teroris internasional..Ã°Å¸ËœÂÃ°Å¸Ëœâ€¹,Netral
mkemalp_,@yusuf_dumdum Percaya atau tidak komunis sedang menyuguhkan syurga pada anak bangsa.,Agama
wtaytawan,@geloraco Media ini yg selalu bikin kadrun makin goblok Ã°Å¸Ëœâ‚¬Ã°Å¸Ëœâ‚¬Ã°Å¸Â¤Â£,Agama
KutipanQuats,"@_ekokuntadhi Hahahaha....
  Gelora Kadrun",Agama
jejeybestboy,"@yunartowijaya Yg maling dan garong uang negara indonesia ini berasal dari negri cina itu banyak,ada yg tertangkapÃ¢â‚¬Â¦ https://t.co/PKNmRi1pRl",Ras
crushonosh_,@elkrova dia cerita krn jaman sekarang banyak kadrun oon... pasti percaya... Ã°Å¸Ëœâ€š,Agama
izzahilmaa,"@TomCruzz555 Untuk kepentingan dan kebutuhan mereka, semua halal, tidak ada yg haram.
  
  Munafik.",Agama
springdaysme98,@laode_kowu @PadmavatiPrati1 @aniesbaswedan @DKIJakarta KadRun2...bawa2 Akhirat...tuan lu yg KASAP MATA NYOLONG n NÃ¢â‚¬Â¦ https://t.co/oqLNNkoPvn,Agama
ardyngtys,@siregar_elang dan si kadrun ompong ini pengen juga berkuasa ...Ã°Å¸ËœÂ https://t.co/Q4IbAVR9lc,Agama
patbingzu,"Servis nya jelek, gimana mau main bagus gue tanya hhh diabisin adin semua jir dari depan udah tau adin mainnya bagus",Netral
watergold_land,@kr1t1kp3d45 Halah..gegayaan.diacungin senapan juga pada ngompol.kalo gak suka jokowi sana ke Cina saja..i love jokowi...haahaaa,Netral
jeonayang,"haha iya ci jelek ci ga pinter ci nyusahin ci malesan, huwa this creepy sound, can u guys stop, i knew it",Ras
putermiraaayu,@axllxzkjk @BadmintonTalk izzuddin itu islam kak so dia nak tutup auratnya :),Netral
prischillbro,Ipar sepupu lagi nyeritain adiknya yg sempat pacaran sama Chinese dan beda agama terus dipaksa putus. Ibu ngelirikÃ¢â‚¬Â¦ https://t.co/4XU6OCZjRe,Netral
harleygrandea,@glotesu hiks aku gamau gambling deh takutnya hape gue jelek dan malah gabisa diputer huhu nunggu ready yg classic ajaa,Netral
grcprkstz,"@lachiimollalaaa Wkwkwk tau tuh
  Dah jelek,aneh,ngetik setengah setengah lagi",Ras
jhon_gudel,@democrazymedia Islam gak rugi setitik debupun.....,Netral
RainyNite_,@evylagi @gegerubyjane @raflypakeY @scztai kok gak sampe gitu lho dah rape jokes nglewatin bates jokes agama bukannÃ¢â‚¬Â¦ https://t.co/ixxDQCL5ue,Netral
wotajun,Mau ngeluarin unek-unek yang selama ini gue simpan also the reasons why am I always changing my acc every 2 or 3 moÃ¢â‚¬Â¦ https://t.co/8HuWqgxscv,Netral
raaldinee,"media sosial sepalsu ini. lo bisa bersikap apapun tanpa perlu khawatir image lo jelek, gak perlu tanggung jawab. SEPERTI ORANG MISKIN PAKE IMAGE KAYA",Ras
RAPMONS__KIM,"@bertanyarl orangnya gapernah marah anaknya dapet nilai jelek, cuma kalau dirumah diejek terusÃ°Å¸â„¢â€š https://t.co/inuAigGic0",Netral
dedensujana,@VIVAcoid Pengacaranya pemilik hak paten sah agama Islam Ã°Å¸Ëœâ€¦ https://t.co/I9eiLPN7Uo,Netral
KiGrinsing,"@kr1t1kp3d45 Hmm upacara mangkok merah, ini bukan sembarangan, ini upacara untuk panggilan perang antar seluruh sukÃ¢â‚¬Â¦ https://t.co/fnwCXOi5V0",Netral
cetinkayaca,"CEWEK CINA EMANG CANTIKCANTIK, PUTIH BERSIH, MATA SIPIT. HADUHHHHHH",Netral
Newnormalbulsh1,"Bagus nya,kalau ga ngerti dengan Islam ,lebih baik diam JANGAN SUKA NGATAIN ORANG MUSLIM KAU KAFIRRRR",Agama
boyyeonjunieee,@Solomonredlv harus banyak banyak bersabar ya lia jaringannya emg lagi jelek kayanyaÃ°Å¸Ëœâ€Ã°Å¸â„¢ï†,Netral
makasiyam,"@bertanyarl 6, 12, 13 karna ak pendek tp gabakal pake keluar juga sih, gaboleh sama agama",Netral
Maya83206301,@Moch_herianto Itulah kaum mereka dng andalannya agama di jadikan alat politik,Netral
superlikejinny,@jidylovewinrozu @redcarld @gbrljinny Memang btul Ã°Å¸â„¢Æ’Ã°Å¸â„¢Æ’Ã°Å¸â„¢Æ’ jayne pinter jg Ã°Å¸ËœÂ­ dah dbilang w cina KW Ã°Å¸ËœÂ­,Ras
JuangAkal,"Penting ojo jadi lonte / lonthe / sundel / pelacur......
  *ISIN MALU KELAUARGAMU, YANG PAHAM IMAN AGAMA KATHOLIK DANÃ¢â‚¬Â¦ https://t.co/TStIEaDejX",Ras
teayouwng,Ã¢â‚¬Å“Harus di takut2in dulu Riannya. Dia servicenya jelekÃ¢â‚¬ï† -coach malaysia Ã°Å¸Â¤Â£,Netral
tikasdiary,"Berangkat pergi masih islam, pulang kerumah udah kristen Ã°Å¸Â¥Â²Ã°Å¸Â¥ÂºÃ¢ï†Â¤",Netral
VZdelano,"Jelek mah jelek aja, gak perlu nyembah-nyembah photoshop biar keliatan keren !",Netral
Yanstmenan1,@yaniarsim Wah gawat kobarkan NKRI cari solusi terbaik kalau melanggar hukum proses sesuai hukum dan suruh kembali ke cina,Netral
ikg_buleleng,"@UmarHasibuann75 Setelah niat sholat di lecehkan bgitu, masih adakah orang yg mengaku beragama islam menjadi followÃ¢â‚¬Â¦ https://t.co/FIXfL6fKT7",Netral
fotodakwah,"dasr kaum kafir mengaku agama islam, malah melecehkan sholat. Syetannn lo",Agama
ltyhcc,"gue ngerasa cantik iya, tp kalo ada cowo yg ngedekitin lgsg ngerasa anjir lo gacocok sama gue, gue jelek.. pdhl yaÃ¢â‚¬Â¦ https://t.co/GQvspe79e4",Netral
selainaq,ini bisa dilaporin atas dugaan penistaan agama ga si?,Netral
ahongisme_,Kapitalisme berbalut agama,Agama
DiposuroP,"@mas_soem Intinya yg bisa cari celah dlm menjual dongeng agama, maka dialah yg bisa kaya raya..",Agama
dsugassi,"Pansos mah banyakkkkk!
  Skrg yutuber tuh banyak banget yg 'menurut aku' gimmick belaka. Cuma butuh viewers:"")
  SekaraÃ¢â‚¬Â¦ https://t.co/xsw96U45O0",Netral
bbipdibiiiip_,"@kiyopta97 Iya ih jelek bgt sumpah, mending kek yg biasanya aja Ã°Å¸ËœÂ­ udah mana ftonya full ngelebar gtu wkwkwk",Netral
AlvaOmega_,"Oh AcehÃ¢â‚¬Â¦. Jika agama membuatmu tolol, tinggalkan agamamu!
  Gw yakin, Tuhanmu tak begini.
  Belajarlah lagi jadi manusiÃ¢â‚¬Â¦ https://t.co/Rv2xyxyxje",Agama
ssefnum,#NAME?,Netral
GusIwan72,@democrazymedia Kaga rugi keilangan orang islam yg gak ngerti agama islam atau dari dulu hanya puraÃ‚Â² islam,Agama
weezaas,"Soalnya w ghosting gegara beda agama tidak ingin trabas trabasÃ°Å¸â„¢ï†
  Aturan kan bisa kasi tips &amp; trick gitu LOH",Netral
thelegendblues,"@schfess ""rencana saya apabila terpilih nanti akan membuat sistem kepengurusan menjadi lebih baik"" ""akan memperbaikÃ¢â‚¬Â¦ https://t.co/LkWmcZv6k8",Netral
Jejak_langkah25,"Islam Akan Dihapus dari Agama Negara di Bangladesh 
  
  Pemerintah Perdana Menteri Bangladesh Sheikh Hasina telah memuÃ¢â‚¬Â¦ https://t.co/tJmE71Ewhu",Agama
Jejak_langkah25,Menteri Penerangan Muda Bangladesh Murad Hassan mengatakan amandemen akan segera diajukan di Parlemen dan kemungkinÃ¢â‚¬Â¦ https://t.co/etqFLrJOsy,Agama
daejeoni,gista suka panggil dean pake nama andra. katanya kalo manggil dean jelek kayak cewek. padahal kan engga ya. emang aÃ¢â‚¬Â¦ https://t.co/sLRpNJx9Ts,Netral
AcimAli1,@fadlizon Di larang agama org yg selalu berprasangka buruk.....,Netral
tofurebus,"Jadi inti thread nih orang tuh ""idol gaboleh ada yg gendut"", ""idol harus sempurna"", ""kalo bisa idol ngga bisa matiÃ¢â‚¬Â¦ https://t.co/cn15dD6joA",Netral
duniabijak,"Agama sejati adalah hidup yg sesungguhnya; hidup dgn seluruh jiwa seseorang, dgn seluruh kebaikan &amp; kebajikan seseorang #duniabijak",Netral
pobbay,"@convomfs belajar cepet, temen mu udah pada belajar semua ntar nilai kamu jelek sendiri lohh",Netral
FitriNatali1,Lebih baik gtu bu biar jelas agamanya dan jgn lagi ngomong tentang. Islam klo udah murtad,Agama
rcdler,"@nctjenius @ZahiraAlfadila @tubirfess Menurut gua mending ngikut pemahaman masing2 aja deh
  Tapi tetep mau gimana puÃ¢â‚¬Â¦ https://t.co/PNdlXFDaY9",Netral
platopotat0,lelaki yg rasa dia je ada syahwat ni sekali sekala tengoklah cermin tu. ko rasa bini ko ada selera ke dgn ko kalauÃ¢â‚¬Â¦ https://t.co/iI1AZGKQJv,Netral
dedensujana,@KompasTV Dinodai oleh preman berkedok agama dgn menyegel masjid Jemaah Ahmadiyah di Depok https://t.co/Hk1UlKvUMo,Agama
your4everbestie,@CantiqpakekQ @scztai Gabut bngt anjir sampe belain orng yg becandain agama?,Agama
JasyaraS,"Glucella ~ Mencerahkan, menyamarkan noda hitam, mengangkat sel kulit mati, mmberi nutrisi buat kulit, bb 27DF4E5C/Ã¢â‚¬Â¦ https://t.co/x5M3iUR3Io",Netral
rasyayaa,"@schfess lgbt emang dilarang di agama manapun, tapi ini privasi help ??????????????",Netral
Kucingmontok1,"@brgsjks Kepada korang yang tak tahu,freemason ni banyak bantu orang,dan orang islam juga dilarang untuk join freemÃ¢â‚¬Â¦ https://t.co/e6PB7EilCs",Netral
amxeradd,"@convomf Berani, tapi kalo mood gue jelek gak berani nonton Ã°Å¸ËœÂ­",Netral
anaswongkamfung,@democrazymedia Naah mending pindah dari pada merusak islam,Netral
bbublet,"ga usah takut, sekarang juga lo jelek kok ga perlu tunggu gemuk dan keriput Ã¢ËœÂºÃ¯Â¸ï†",Netral
wjhenthu,"@huirideul AURANYA ITU LHO ABANG CINA BANGETTTT, munjunhui pake pelet apa ya kenceng bgt beda negara manjur Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­ https://t.co/rmCljlLsoX",Ras
korbanlocktwt,@lindrayyy @freakihooman jatuhnya kek penistaan agama gak sih cmiw,Netral
kimseonho_1986,"Setiap ketemu foto seonho jujur aja selalu gue simpan hehe, ga mau munafik sih gue Ã°Å¸Ëœï†",Netral
kkbvn__,@maryimnotmary wala kaayo Hahahaha akong mga kauban ras waiting shed Ã°Å¸ËœÂ­Ã°Å¸ËœÂ­,Netral
manusiahitam,Hahahahahahahahahhahahahahahahahahahahahahahhahahahahaha. Apa bendalah kau ni. Pandai betul main sentimen Melayu.,Netral
sunsetskystro,MAMAHKU BANGET Ã°Å¸ËœÂ­ APALAGI AKU SAMA AYAH AQUARIUS DAN KALO BERANTEM SAMA MAMAH TUH GK BISA NGALAH KITA MAH Ã°Å¸ËœÂ­,Netral
endiensis,@farras_iz @nirmalaa_ @puspitavinas wah mbundet ras nek njelaske nang ayuk.,Netral
ayenzodearya,Apaan sih min ? emang ada hukum Islam yang memberatkan kehidupan manusia ? kita mbahas manusia yang Islam ya,Netral
nx51rvdd1nxyvp,@Dennysiregar7 @prabowo Hi geng #Teroris #AnjingPeking #Kadrun KAtakguRUN Gobi China PKI RADIKAL pimpiÃ¢â‚¬Â¦ https://t.co/JWufJap0IN,Ras
mirainthought,yang dejun itu wip tpi udah nyerah krna males bagian rambutÃ°Å¸ËœÆ’ nanti jelek huhu,Netral
EmgalibOposisi,@DiposuroP @AremaNita__ Kadrun itu apa pak Ã°Å¸Ëœâ€šmanusia juga bukan apa lagi Tuhan Ã°Å¸Ëœâ€šagama kadrun buru2 manusia membunuhÃ¢â‚¬Â¦ https://t.co/Ktu3TSGPkf,Agama
boyyeonjunieee,@cochobin harus banyak banyak bersabar ya aily jaringannya emg lagi jelek kayanyaÃ°Å¸Ëœâ€Ã°Å¸â„¢ï†,Netral
mearcane,"Dirimu udah sempurna banget sampe bisa ngomong kaya begini? Reminder'mu perihal obesitas, itu bagus. Terimakasih baÃ¢â‚¬Â¦ https://t.co/NeMEVRnvXC",Netral
mearcane,Kamu siapa? Kolerasi kamu dalam hidup mereka apa? Kamu merasa jauh lebih baik daripada mereka kah? Tanpa harus kamuÃ¢â‚¬Â¦ https://t.co/2nxPUsbp7o,Netral
nuur0039,"@starshapedfluff @afqhssm Yang tu saya tak tahu. Cuma apa yang saya faham. Macam kita orang Islam, kita kena menjemÃ¢â‚¬Â¦ https://t.co/F6UDtIHtxf",Netral
sangahq,"@zeongmiin hshshs jauh jauh yang nyakitin adikku, jangan sedihin jelek saram itu ya dik! Ã°Å¸Ëœ",Netral
gondoyday,"Oh Baha'i itu aliran yg menganggap semua agama itu sama, jadi yg kemaren2 ngucap semua agama itu sama ternyata mereâ€¦ https://t.co/cEGBYT98tn",Agama
Duajempol20,"@TofaTofa_id @Kemenag_RI FPI dan HTI dilarang, Bahai dibela, apa tak takut kualat KH Hasyim Asy'ari?",Agama
AimanGoesUp,@shfqaaaa Tu ah sini takda ahli jabatan agama islam sunderland kaco tu yang sunyik siket,Agama
gebetansophie,"@abubakarsegaf Itu bukan pelecehan terhadap Islam, tapi agama yg berdiri sendiri. Kalo semua yg berbeda dan mengandâ€¦ https://t.co/q3V4B7YgkZ",Agama
takeUforgranted,@missbelacan Aku ingat aku sorang je perasan bini dia kuat terpaling victim. Lama dah dia gini. Hahaha. Tapi masihâ€¦ https://t.co/THSP965uUO,Agama
Eva_agusti,"Susah emang ngomong sama orang yg udah diselimuti benci, benci terhadap apapun. Agama tertentu, ras tertentu, figurâ€¦ https://t.co/DeiUNyowr9",Netral
w8mt_kL89_j3x66,"Ini contoh Islam yg ga bener + contoh kristen yg ga bener,dua2nya tersesat yahudi
  
  Dengan mancampur adukkan,hny memâ€¦ https://t.co/Rs2TWOdEB4",Agama
weween,Sebenonya betul punya kesian tengok orang yang senang betul kena perdaya dengan pandangan luaran orang nampak beragâ€¦ https://t.co/Mv9VPDVWIy,Netral
freacklye,@bertanyarl smp pacaran ma beda agama 2taun trs lost kontak 2taun skrang balikan lg jiakh mang bego bgt si ini mah,Netral
zkyniel,beda agama nggak sih,Netral
OHMYV3NUS,"Eh kalian kalau punya waktu luang, gue saranin nonton konten youtubenya onad ini deh. Pertanyaannya onad nih seputaâ€¦ https://t.co/ePUfZkVdcx",Netral
useyourmind_1,@AidaSue Dia suami isteri mmg dh byk kali kan buat kes sampai semua kat dia tunggang agama. Sblm ni kes aniaya pekerja kan?,Netral
a4our_,"Menag ucapkan Tahniah buat Baha'i atas dasar Baha'i bukan bagian dari Islam 
  Jadi, Tinggal ditunggu aja, ucapan Tahâ€¦ https://t.co/sZWuYt74zT",Agama
en_noven,"Sulit mempercayai sesuatu diluar naral namun bertentangan dengan logika, meskipun ada label agama melekat padanya.â€¦ https://t.co/G4uCfaYTH0",Netral
hato_joko,"MUI Buka Suara Soal Bahaâ€™i: Jangan Sampai Offside, Komunitas Dianggap Agama https://t.co/841P7Y6p71",Netral
atin19_,jujur agama aku gak tau belajar bab apa sekarang. wkwkwk.,Netral
firdausrrahman,"@aemieruls_ Acah otai, tapi tak berdisiplin, memalukan agama sahaja",Netral
meleburssi,@souIsinlove kpop k nya kafir jahat setan wallahi gaksanggup haram,Ras
rowby_jr,"@VIVAcoid Sudahlah,Dia mnjabat sbg menteri saja itu artinya dia bertanggung jawab atas apa yg telah Allah amanahkanâ€¦ https://t.co/vnb7f2D5QB",Netral
idzharsyafawii,"@banjarbase Agama jgn dijadikan tolak ukur lagi, tapi lihati akhlaknya, karena wayah ini banyak urg memakai kedok aâ€¦ https://t.co/zoClqfK7Xc",Netral
rowby_jr,"@VIVAcoid Sudahlah,Dia mnjabat sbg menteri saja itu artinya dia bertanggung jawab atas apa yg telah Allah amanahkanâ€¦ https://t.co/vnb7f2D5QB",Netral
idzharsyafawii,"@banjarbase Agama jgn dijadikan tolak ukur lagi, tapi lihati akhlaknya, karena wayah ini banyak urg memakai kedok aâ€¦ https://t.co/zoClqfK7Xc",Netral
Sahadathusain2,@Efirozkhan Kafir hai tu,Agama
AmirHamjah_,MUI Ingatkan Pemerintah Jangan Offside soal Agama Baha'i https://t.co/OaGNEZF3wr,Agama
apiptayo15,"@IrutPagut Yaa Allah...agama apalagi ini ðŸ˜£
  Dibilang bukan islam tp kok gerakannya sholat dan pake sajadah
  Naudzubillah min dzalik",Agama
MT_Reborn,MUI Ingatkan Pemerintah Jangan Offside soal Agama Baha'i https://t.co/oq8JQ2Oo1C,Agama
RP_FAMOUS_2014,"BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 8",Agama
xxlckxx,@hanamonnn @soyoulikeart Hahaha kalau benda macam ni naik mesti petik pasal agama macam besar sangat ujiannya,Netral
enylyana,Lol apa perempuan ni? Bersabar amenda. Laki sendiri buat hal. Lol.,Netral
AmirMahazir,"Yassss, buat salah
  
  : petik agama sikit, ok laa, play victim la, tunggang laa selagi boleh tunggang. HahahaHarrei",Agama
eskajon,@VIVAcoid Hebaat nian ini menag! Sdh ucapkn selamat naw ruz pdhl bahai blm diakui sbg agama resmi di republik ini.â€¦ https://t.co/tR7hhecTlI,Netral
averagecadet,"Rasah ngomomgke rasis. Nek agama liyo isih tok olok2 berkedok ""darkjokes"".",Netral
HustleUtkHasil,@AidaSue Penunggang agama. Jangan disebut nama maha suci Allah kalau sekadar nak tutup bongkak dengan angkuh kau tuâ€¦ https://t.co/FUknzqgH3l,Agama
xxlckxx,"@soyoulikeart Laki bini pon sama bodohhhh dah terang2 salah lagi nak main agama pulak kononnya tengah diuji, oii peâ€¦ https://t.co/xqPlFZvi1V",Netral
NKRISAMPAIMATI,@Mei2Namaku Pengikut Yahya Waloni ini pasti. Tolong lah @DivHumas_Polri racun radikalisme udah kayak gini. Kapan adâ€¦ https://t.co/xvNRYoCK62,Agama
Shyraaa_,laki bini penunggang agama play victim HAHAHAHAH sial,Agama
Berrymocktail,"halah kalo dari awal udah ngingetin karena agama, sekalian aja anda juga menundukkan pandangan sebagai seorang lelaâ€¦ https://t.co/SbNhwgWB9O",Agama
eliaelll_,"@yourbread777 @schfess Tapi pas kelas 6 gtu dngerÂ² bapak guru agama kena marah ortunya,, saat itu ga mikir dia beda agama si",Netral
aannisalv,@joni_jonell beda agama,Netral
simp4wwiinnn,"sholat dhuha seminggu sekali nder, pas pelajaran agama doang",Netral
enjang_d,@Motty_hang yang benci FPI PKI dan kaum munafikun,Ras
rizfariz_,"Orang awam gak bakal gau apa itu Baha'iyah
  
  Baha'iyah itu bukan Islam. Gak pernah bener menag era Pak Jokowi ini, nâ€¦ https://t.co/JvJ6XUrtqa",Agama
DonnySArifin1,"@TeddyGusnaidi Belajar agama br kemarin sj sudah sok paling suci,,,Kemunafikan tak akan bisa membersihkan darah danâ€¦ https://t.co/Yu7dfKdiz7",Agama
zeerahadi_,Kalau dah kaya jangan auto gila dan bodoh boleh kot. Macam sial je mulut carl ni. Tapi carlkan? Siapa je tak tahu jâ€¦ https://t.co/5Rdz3rkJA0,Ras
Shyraaa_,@thiralee_ @frhshk_ haaa ada ada . Hahahha lepadtu tgk statement bini dia adui laki bini main agama adui,Agama
Noovys,"@taufikaris1613 Intinya kl beragama utk jelekin org lain,hina agama lain , org2 tsb pantasnya di tinggalkan, tp sayâ€¦ https://t.co/D1nS5MtFB9",Agama
K_myLoved,"cara sembahyangnya agama Baha'i yg diakui Yakult ternyata kek gini ya
  
  Pak Menag ... Sejak kapan agama Baha'i diakuâ€¦ https://t.co/xgIkDohDvu",Agama
GabusPucung21,"@WinSant77 @DoniAswandi @abubakarsegaf Apaan sih jamet , sok iyeh lu , tau agama juga engga lu",Agama
baguswhy,"Takutnya ujungÂ²nya dikorup juga, sudah sumbangan dikorup lagi ðŸ˜‚ðŸ˜‚ wes angel.",Netral
Hendart84878795,"@TomCruzz555 Bajingan @Andiarief__ ternyata Lo emeng idiot akut ,udh tau klo negara rusak oleh para pedagang agamaâ€¦ https://t.co/RBUMaL2XwD",Agama
issafeel,"Orang bali review resto bigul, isi komen nya salam toleransi.. ribet bgt ye orang2 agama ini",Netral
kiddomonsterr,"Ni lagi sorang, asal ada kes jee mulalah start tarbiah islamik dia tu. Mcm dia terpaling di aniaya. Mcm dia lah manâ€¦ https://t.co/SONMDEc5zA",Agama
PiruHumas,"@_ekokuntadhi Bapak ini kayak mabuk ciu bener, jangan2 agen komunis yang mau merusak agama dari dalam Ã°Å¸Â¤Â£Ã°Å¸â„¢Ë†",Agama
PiruHumas,"Lapas Piru secara umum telah memiliki kesiapan dalam melaksanakan berbagai program pembinaan, termasuk pembinaan agama Islam.",Netral
PiruHumas,Menurut Wikrama Jaya â€œPembinaan tersebut mempunyai tujuan untuk meningkatkan kesadaran dalam melaksanakan ajaran-ajâ€¦ https://t.co/xYoxpxCVtH,Netral
PiruHumas,@HarismunO2 @Kemenag_DIY @YaqutCQoumas @Kemenag_RI kamu sdh memenuhi sarat untuk d panggil kadrun karena gobloknya alami,Agama
PiruHumas,@detikcom Yg sukses itu swasembada radikal radikul... Laris manis jualan radikal radikul,Agama
