Date,gold_price,snp500_price,usdollarindex_price,crudeoil_price
2000-06-07,290.0,1471.4,106.18,29.95
2000-06-08,286.8,1461.7,106.71,29.78
2000-06-09,286.4,1457.0,106.99,30.2
2000-06-12,289.1,1446.0,106.97,31.74
2000-06-13,288.1,1469.4,106.4,32.56
2000-06-14,294.2,1470.5,106.46,32.85
2000-06-15,292.1,1478.7,106.88,32.95
2000-06-16,291.2,1464.5,105.96,32.33
2000-06-19,288.0,1486.0,106.33,31.69
2000-06-20,288.1,1476.0,106.33,33.05
2000-06-21,288.1,1479.1,107.43,31.37
2000-06-22,287.2,1452.2,107.71,32.19
2000-06-23,284.8,1441.5,108.01,32.25
2000-06-26,285.5,1455.3,108.11,31.63
2000-06-27,287.5,1450.5,107.36,32.06
2000-06-28,294.3,1454.8,107.6,31.9
2000-06-29,290.7,1442.4,106.84,32.72
2000-06-30,291.5,1454.6,106.84,32.5
2000-07-03,582.9,1469.5,107.06,40.602
2000-07-04,301.18,1097.5400000000002,107.29,28.832
2000-07-05,285.3,1446.2,107.12,30.67
2000-07-06,284.6,1456.7,107.37,29.99
2000-07-07,284.6,1478.9,107.65,30.28
2000-07-10,284.9,1475.6,107.01,29.69
2000-07-11,283.3,1480.9,107.14,29.7
2000-07-12,281.4,1492.9,108.12,30.32
2000-07-13,280.9,1495.8,108.54,31.47
2000-07-14,281.9,1510.0,108.45,31.4
2000-07-17,284.2,1510.5,108.7,30.83
2000-07-18,283.1,1493.7,109.38,31.94
2000-07-19,279.6,1482.0,109.59,31.42
2000-07-20,280.4,1495.6,108.61,30.93
2000-07-21,280.6,1480.2,108.42,28.56
2000-07-24,279.3,1464.3,108.69,28.02
2000-07-25,279.3,1474.5,108.38,27.95
2000-07-26,279.7,1452.4,108.11,27.81
2000-07-27,278.6,1449.6,108.89,28.02
2000-07-28,284.2,1419.9,109.74,28.18
2000-07-31,283.2,1430.8,109.57,27.43
2000-08-01,283.2,1438.1,110.05,27.79
2000-08-02,282.8,1438.7,110.67,28.26
2000-08-03,279.5,1452.6,110.98,28.66
2000-08-04,278.6,1462.9,110.85,29.96
2000-08-07,279.1,1479.3,110.8,28.91
2000-08-08,278.7,1482.8,111.32,29.12
2000-08-09,277.3,1472.9,111.44,30.35
2000-08-10,277.6,1460.2,110.9,31.34
2000-08-11,280.3,1471.8,111.21,31.02
2000-08-14,279.6,1491.6,111.08,31.94
2000-08-15,279.6,1484.4,110.51,31.67
2000-08-16,282.3,1479.8,110.26,31.8
2000-08-17,282.6,1496.1,110.11,31.94
2000-08-18,281.7,1491.7,111.01,31.99
2000-08-21,280.0,1499.5,111.46,32.47
2000-08-22,278.3,1498.1,111.79,31.22
2000-08-23,275.7,1506.0,111.42,32.02
2000-08-24,277.5,1508.3,111.23,31.63
2000-08-25,278.6,1506.5,111.35,32.03
2000-08-28,278.5,1514.1,111.46,32.87
2000-08-29,277.5,1509.8,112.2,32.74
2000-08-30,278.2,1502.6,112.14,33.32
2000-08-31,282.1,1517.7,112.6,33.12
2000-09-01,280.9,1520.8,111.42,33.38
2000-09-05,279.7,1507.1,112.41,33.83
2000-09-06,277.9,1492.2,114.12,34.9
2000-09-07,277.7,1502.5,113.65,35.39
2000-09-08,276.8,1494.5,114.34,33.63
2000-09-11,276.8,1489.3,115.37,35.14
2000-09-12,276.6,1482.0,115.17,34.28
2000-09-13,276.5,1484.9,115.34,33.82
2000-09-14,276.0,1480.9,115.16,34.07
2000-09-15,275.8,1465.8,115.94,35.92
2000-09-18,274.9,1444.5,116.0,36.88
2000-09-19,275.4,1459.9,116.11,36.51
2000-09-20,272.5,1451.3,116.41,37.2
2000-09-21,273.5,1449.0,115.27,34.0
2000-09-22,275.1,1448.7,113.56,32.68
2000-09-25,277.3,1439.0,114.06,31.57
2000-09-26,277.3,1427.2,113.16,31.5
2000-09-27,281.6,1426.6,113.11,31.46
2000-09-28,278.9,1458.3,113.31,30.34
2000-09-29,276.9,1436.5,113.25,30.84
2000-10-02,276.3,1436.2,113.79,32.18
2000-10-03,274.8,1426.5,114.22,32.07
2000-10-04,273.2,1434.3,114.17,31.43
2000-10-05,273.4,1436.3,114.74,30.53
2000-10-06,272.1,1409.0,114.85,30.86
2000-10-09,272.9,1402.0,114.81,31.86
2000-10-10,275.1,1387.0,114.36,33.18
2000-10-11,273.0,1364.6,114.49,33.25
2000-10-12,278.8,1329.8,114.89,36.06
2000-10-13,274.8,1374.2,115.86,34.99
2000-10-16,273.9,1374.6,116.39,32.92
2000-10-17,273.4,1350.0,115.89,32.99
2000-10-18,272.6,1342.1,117.33,33.48
2000-10-19,272.3,1388.8,116.94,32.91
2000-10-20,273.3,1396.9,117.16,33.75
2000-10-23,272.0,1395.8,117.54,33.76
2000-10-24,272.1,1398.1,117.42,33.37
2000-10-25,267.9,1364.9,118.49,32.96
2000-10-26,266.6,1364.4,118.5,33.71
2000-10-27,265.9,1379.6,117.39,32.74
2000-10-30,265.8,1398.7,117.25,32.81
2000-10-31,266.4,1429.4,116.65,32.7
2000-11-01,265.4,1421.2,115.56,33.25
2000-11-02,265.9,1428.3,115.61,32.54
2000-11-03,266.1,1426.7,114.97,32.71
2000-11-06,266.0,1432.2,115.69,32.86
2000-11-07,265.4,1431.9,115.52,33.4
2000-11-08,266.1,1409.3,116.23,33.24
2000-11-09,266.9,1400.1,115.34,33.92
2000-11-10,265.5,1366.0,115.79,34.02
2000-11-13,265.3,1351.3,115.7,34.47
2000-11-14,265.4,1383.0,116.22,34.87
2000-11-15,265.6,1389.8,116.35,35.58
2000-11-16,266.3,1372.3,116.93,35.12
2000-11-17,266.2,1367.7,117.31,35.45
2000-11-20,266.8,1342.6,117.35,35.22
2000-11-21,266.1,1347.3,117.95,35.16
2000-11-22,266.7,1322.4,117.85,35.4
2000-11-23,289.46000000000004,1182.7599999999998,118.09,26.212
2000-11-24,271.32,1341.8,118.48,32.134
2000-11-27,270.3,1349.0,117.1,35.38
2000-11-28,269.8,1336.1,116.58,34.22
2000-11-29,269.6,1341.9,116.61,34.63
2000-11-30,273.3,1315.0,115.24,33.82
2000-12-01,271.9,1315.2,114.73,32.02
2000-12-04,273.8,1325.0,113.71,31.22
2000-12-05,273.3,1376.5,114.47,29.53
2000-12-06,277.3,1351.5,113.31,29.85
2000-12-07,276.1,1343.5,113.54,29.35
2000-12-08,275.1,1369.9,114.05,28.44
2000-12-11,273.1,1380.2,114.29,29.5
2000-12-12,273.2,1371.2,114.26,29.68
2000-12-13,271.2,1360.0,114.71,28.74
2000-12-14,271.5,1340.9,113.38,27.99
2000-12-15,272.9,1312.2,112.9,28.87
2000-12-18,272.0,1322.7,113.07,29.76
2000-12-19,272.0,1305.6,113.21,29.33
2000-12-20,274.7,1264.7,111.97,25.77
2000-12-21,275.7,1274.9,111.51,25.98
2000-12-22,275.5,1306.0,110.82,26.18
2000-12-26,275.9,1315.2,110.31,26.64
2000-12-27,276.9,1328.9,110.32,26.47
2000-12-28,273.7,1334.2,110.38,25.85
2000-12-29,273.6,1320.3,109.56,26.8
2001-01-02,270.0,1283.3,108.77,27.21
2001-01-03,269.3,1347.6,110.17,28.0
2001-01-04,268.4,1333.3,108.81,28.14
2001-01-05,269.0,1298.3,108.42,27.95
2001-01-08,269.0,1295.9,108.86,27.32
2001-01-09,268.5,1300.8,109.52,27.64
2001-01-10,265.6,1313.3,109.86,29.48
2001-01-11,264.8,1326.8,109.01,29.41
2001-01-12,264.6,1318.3,109.36,30.05
2001-01-15,564.5600000000001,1870.466,109.97,40.986000000000004
2001-01-16,263.9,1326.7,110.11,30.29
2001-01-17,263.8,1329.5,110.81,29.6
2001-01-18,264.8,1348.0,109.94,30.45
2001-01-19,264.9,1342.5,110.66,32.19
2001-01-22,267.0,1342.9,110.24,32.19
2001-01-23,266.7,1360.4,110.24,29.57
2001-01-24,264.6,1364.3,111.68,29.05
2001-01-25,264.8,1357.5,111.61,29.36
2001-01-26,262.9,1355.0,111.46,29.77
2001-01-29,262.8,1364.2,111.77,29.06
2001-01-30,268.0,1373.7,110.98,29.06
2001-01-31,268.0,1366.0,110.52,28.66
2001-02-01,270.7,1373.5,109.66,29.82
2001-02-02,269.3,1349.5,110.32,31.19
2001-02-05,267.4,1354.3,109.89,30.55
2001-02-06,265.4,1352.3,110.77,30.35
2001-02-07,264.9,1340.9,110.89,31.27
2001-02-08,262.2,1332.5,112.06,31.59
2001-02-09,262.0,1314.8,111.52,31.03
2001-02-12,262.7,1330.3,111.19,30.51
2001-02-13,262.2,1318.8,111.96,30.36
2001-02-14,261.2,1315.9,112.04,29.71
2001-02-15,256.9,1326.6,113.2,28.8
2001-02-16,259.8,1301.5,112.26,29.16
2001-02-19,554.1,1679.6080000000002,111.92,39.0
2001-02-20,257.6,1278.9,112.82,28.58
2001-02-21,259.4,1255.3,113.12,28.53
2001-02-22,259.8,1252.8,113.34,28.82
2001-02-23,262.1,1245.9,112.03,29.04
2001-02-26,266.8,1267.7,112.77,28.42
2001-02-27,268.4,1257.9,112.34,28.13
2001-02-28,267.8,1239.9,112.01,27.39
2001-03-01,266.2,1241.2,111.28,27.62
2001-03-02,263.1,1234.2,111.17,27.84
2001-03-05,263.5,1241.4,111.54,28.6
2001-03-06,260.9,1253.8,111.2,28.32
2001-03-07,262.4,1261.9,111.83,29.0
2001-03-08,266.1,1264.7,111.49,28.39
2001-03-09,271.5,1233.4,111.44,28.01
2001-03-12,272.3,1180.2,112.01,28.0
2001-03-13,267.5,1197.7,113.11,27.59
2001-03-14,262.9,1166.7,113.7,26.41
2001-03-15,260.3,1173.6,114.71,26.55
2001-03-16,258.4,1150.5,115.32,26.74
2001-03-19,260.1,1170.8,115.2,26.15
2001-03-20,260.8,1142.6,114.11,25.96
2001-03-21,262.2,1122.1,115.53,26.8
2001-03-22,261.4,1117.6,116.3,26.54
2001-03-23,261.7,1139.8,115.94,27.3
2001-03-26,262.1,1152.7,115.21,27.48
2001-03-27,261.1,1182.2,115.43,27.75
2001-03-28,259.7,1153.3,116.01,26.31
2001-03-29,260.4,1148.0,116.6,26.32
2001-03-30,259.2,1160.3,117.37,26.29
2001-04-02,256.6,1145.9,117.34,25.59
2001-04-03,257.9,1106.5,115.63,26.19
2001-04-04,259.4,1103.2,115.08,27.12
2001-04-05,259.1,1151.4,115.47,27.26
2001-04-06,260.9,1128.4,114.75,27.06
2001-04-09,259.2,1137.6,115.21,27.28
2001-04-10,258.2,1168.4,116.02,28.48
2001-04-11,259.6,1165.9,116.13,28.18
2001-04-12,260.9,1183.5,115.54,28.25
2001-04-16,264.1,1179.7,116.18,28.79
2001-04-17,261.8,1191.8,116.46,28.24
2001-04-18,262.0,1238.2,116.13,27.95
2001-04-19,266.0,1253.7,115.02,27.82
2001-04-20,265.4,1243.0,114.32,27.28
2001-04-23,264.3,1224.4,114.77,27.61
2001-04-24,264.7,1209.5,115.2,26.86
2001-04-25,262.6,1228.8,114.98,27.29
2001-04-26,264.5,1234.5,114.46,28.44
2001-04-27,264.3,1253.0,115.62,28.27
2001-04-30,264.4,1249.5,115.85,28.46
2001-05-01,264.8,1266.4,115.3,28.94
2001-05-02,265.8,1267.4,115.16,27.8
2001-05-03,266.7,1248.6,115.38,28.45
2001-05-04,266.5,1266.6,114.93,28.36
2001-05-07,266.5,1263.5,115.32,27.77
2001-05-08,265.5,1261.2,116.08,27.39
2001-05-09,270.4,1255.5,116.05,28.23
2001-05-10,269.5,1255.2,116.37,28.52
2001-05-11,268.3,1245.7,116.84,28.55
2001-05-14,268.7,1248.9,117.14,28.71
2001-05-15,268.5,1249.4,116.79,28.98
2001-05-16,272.4,1285.0,116.14,28.86
2001-05-17,274.0,1288.5,116.12,28.91
2001-05-18,287.8,1292.0,116.41,29.91
2001-05-21,285.8,1312.8,116.52,29.98
2001-05-22,285.5,1309.4,117.69,29.74
2001-05-23,284.0,1289.0,118.29,29.58
2001-05-24,279.4,1293.2,118.36,28.41
2001-05-25,278.2,1277.9,118.18,28.38
2001-05-29,273.9,1267.9,118.22,28.66
2001-05-30,267.4,1248.1,118.22,28.55
2001-05-31,266.9,1255.8,119.07,28.37
2001-06-01,268.0,1260.7,118.89,27.93
2001-06-04,266.5,1267.1,119.19,28.13
2001-06-05,267.1,1283.6,118.7,28.24
2001-06-06,267.0,1270.0,119.36,27.72
2001-06-07,267.3,1277.0,119.09,27.75
2001-06-08,274.5,1265.0,119.21,28.33
2001-06-11,268.9,1254.4,120.05,29.04
2001-06-12,272.6,1255.8,119.61,29.18
2001-06-13,273.1,1241.6,119.03,28.84
2001-06-14,276.4,1219.9,117.99,29.04
2001-06-15,272.3,1214.4,118.29,28.51
2001-06-18,273.4,1208.4,118.36,27.55
2001-06-19,274.4,1212.6,119.04,27.48
2001-06-20,273.4,1223.1,119.13,26.5
2001-06-21,273.6,1237.0,118.89,26.56
2001-06-22,273.3,1225.3,118.91,26.83
2001-06-25,274.7,1218.6,118.32,27.25
2001-06-26,277.0,1216.8,118.07,26.98
2001-06-27,272.8,1211.1,118.38,25.61
2001-06-28,270.0,1226.2,120.01,25.56
2001-06-29,271.3,1224.4,119.43,26.25
2001-07-02,270.1,1236.7,119.67,25.95
2001-07-03,268.3,1234.5,119.6,26.24
2001-07-04,276.18,1171.66,119.91,24.552
2001-07-05,265.8,1219.2,120.9,27.02
2001-07-06,266.6,1190.6,119.9,28.21
2001-07-09,267.0,1198.8,119.89,27.59
2001-07-10,266.7,1181.5,119.13,27.49
2001-07-11,268.8,1180.2,118.64,27.11
2001-07-12,267.1,1208.1,119.09,26.8
2001-07-13,267.6,1215.7,119.33,26.59
2001-07-16,267.4,1202.5,119.3,26.06
2001-07-17,268.6,1214.4,118.9,25.57
2001-07-18,270.8,1207.7,117.38,24.89
2001-07-19,269.7,1215.0,117.33,24.7
2001-07-20,270.2,1210.8,117.21,25.59
2001-07-23,269.1,1191.0,117.85,26.12
2001-07-24,270.0,1171.7,117.12,26.31
2001-07-25,267.8,1190.5,116.64,26.84
2001-07-26,266.3,1202.9,116.74,26.73
2001-07-27,267.4,1205.8,116.94,27.02
2001-07-30,267.6,1204.5,117.2,26.63
2001-07-31,269.2,1211.2,117.18,26.35
2001-08-01,270.3,1215.9,116.56,26.77
2001-08-02,270.3,1220.8,116.28,27.71
2001-08-03,270.8,1214.3,116.14,27.62
2001-08-06,269.9,1200.5,116.42,27.74
2001-08-07,269.9,1204.4,116.83,27.94
2001-08-08,270.7,1183.5,116.54,27.54
2001-08-09,276.2,1183.4,115.25,27.64
2001-08-10,276.8,1190.2,115.29,28.05
2001-08-13,278.6,1191.3,115.01,27.82
2001-08-14,279.1,1186.7,114.39,28.01
2001-08-15,278.4,1178.0,113.19,27.56
2001-08-16,277.9,1181.7,113.08,27.4
2001-08-17,282.0,1162.0,112.99,26.68
2001-08-20,278.6,1171.4,113.4,27.18
2001-08-21,277.4,1157.3,113.29,27.91
2001-08-22,277.3,1165.3,113.27,26.37
2001-08-23,277.7,1162.1,113.09,26.63
2001-08-24,274.9,1184.9,113.33,26.9
2001-08-27,274.9,1179.2,113.39,26.67
2001-08-28,274.4,1161.5,113.43,27.17
2001-08-29,275.8,1148.6,113.54,27.05
2001-08-30,277.5,1129.0,112.84,26.55
2001-08-31,276.5,1133.6,113.42,27.2
2001-09-03,282.52,1225.58,113.67,28.334000000000003
2001-09-04,273.7,1132.9,115.68,26.93
2001-09-05,274.1,1131.7,115.6,26.95
2001-09-06,275.0,1106.4,114.97,27.58
2001-09-07,275.1,1085.8,114.05,28.03
2001-09-10,273.7,1092.5,114.57,27.63
2001-09-11,280.0,1319.4,112.124,25.264000000000003
2001-09-14,292.3,1524.3,103.946,29.53
2001-09-17,291.5,1038.8,112.01,28.81
2001-09-18,289.7,1032.7,111.92,27.7
2001-09-19,292.3,1016.1,111.61,26.72
2001-09-20,289.8,984.5,111.87,26.59
2001-09-21,292.9,965.8,113.04,25.97
2001-09-24,290.9,1003.5,112.84,22.01
2001-09-25,291.8,1012.3,112.28,21.81
2001-09-26,294.8,1007.0,112.29,22.38
2001-09-27,293.2,1018.6,112.98,22.74
2001-09-28,294.0,1040.9,113.48,23.43
2001-10-01,293.5,1038.5,113.0,23.28
2001-10-02,290.9,1051.3,113.01,22.79
2001-10-03,291.0,1072.3,113.4,22.08
2001-10-04,291.6,1069.6,113.16,22.63
2001-10-05,292.5,1071.4,112.91,22.39
2001-10-08,293.4,1062.4,112.59,22.45
2001-10-09,289.7,1056.8,113.35,22.48
2001-10-10,286.7,1081.0,113.7,22.53
2001-10-11,282.6,1097.4,114.44,23.34
2001-10-12,285.7,1091.7,113.89,22.5
2001-10-15,282.7,1090.0,113.82,22.29
2001-10-16,282.9,1097.5,113.92,22.0
2001-10-17,284.0,1077.1,114.38,21.81
2001-10-18,279.8,1068.6,114.35,21.31
2001-10-19,280.7,1073.5,114.86,21.83
2001-10-22,276.1,1089.9,115.75,21.76
2001-10-23,276.5,1084.8,115.85,21.85
2001-10-24,276.3,1085.2,115.6,22.33
2001-10-25,278.2,1100.1,115.55,22.01
2001-10-26,278.3,1104.6,115.65,22.03
2001-10-29,279.7,1078.3,114.44,22.15
2001-10-30,281.2,1059.8,114.35,21.87
2001-10-31,280.5,1059.8,114.86,21.18
2001-11-01,280.7,1084.1,114.46,20.39
2001-11-02,280.8,1087.2,114.54,20.18
2001-11-05,279.5,1102.8,114.54,20.02
2001-11-06,280.2,1118.9,114.81,19.92
2001-11-07,281.3,1115.8,114.98,20.09
2001-11-08,277.1,1118.5,115.13,21.17
2001-11-09,277.7,1120.3,115.09,22.22
2001-11-12,278.6,1118.3,115.34,21.23
2001-11-13,278.0,1139.1,116.4,21.67
2001-11-14,278.0,1141.2,116.2,19.74
2001-11-15,275.3,1142.2,116.51,17.45
2001-11-16,274.9,1138.7,116.41,18.03
2001-11-19,272.9,1151.1,116.93,17.72
2001-11-20,273.2,1142.7,116.62,19.15
2001-11-21,273.1,1137.0,117.15,18.96
2001-11-22,276.88,1206.44,117.3,27.418
2001-11-23,283.18,1150.3,117.33,21.744
2001-11-26,272.5,1157.4,117.11,18.69
2001-11-27,273.4,1149.5,116.89,19.48
2001-11-28,274.1,1128.5,116.17,19.22
2001-11-29,274.7,1140.2,116.13,18.62
2001-11-30,274.9,1139.5,116.13,19.44
2001-12-03,277.9,1129.9,115.96,20.09
2001-12-04,276.3,1144.8,116.08,19.65
2001-12-05,274.6,1170.3,116.41,19.49
2001-12-06,275.0,1167.1,115.63,18.54
2001-12-07,274.7,1158.3,116.15,19.04
2001-12-10,273.0,1139.9,116.26,18.37
2001-12-11,272.9,1136.8,116.05,18.08
2001-12-12,274.5,1137.1,115.33,18.36
2001-12-13,274.6,1119.4,115.8,18.12
2001-12-14,278.6,1123.1,114.93,19.23
2001-12-17,278.3,1134.4,114.93,19.22
2001-12-18,280.9,1142.9,115.15,19.36
2001-12-19,276.0,1149.6,115.48,19.8
2001-12-20,276.5,1139.9,115.59,19.28
2001-12-21,278.3,1144.9,116.98,19.62
2001-12-24,283.84000000000003,1144.7,117.94,22.786
2001-12-26,279.6,1149.4,117.85,21.27
2001-12-27,277.7,1157.1,117.57,20.9
2001-12-28,276.8,1161.0,117.26,20.41
2001-12-31,279.0,1148.1,116.75,19.84
2002-01-02,279.2,1154.7,115.79,21.01
2002-01-03,278.5,1165.3,116.11,20.37
2002-01-04,279.2,1172.5,116.33,21.62
2002-01-07,278.9,1164.9,116.33,21.48
2002-01-08,279.2,1160.7,116.83,21.25
2002-01-09,283.7,1155.1,117.01,20.18
2002-01-10,287.4,1156.5,116.88,20.38
2002-01-11,287.7,1145.6,116.64,19.68
2002-01-14,285.7,1138.4,116.64,18.89
2002-01-15,284.7,1146.2,117.29,18.9
2002-01-16,287.6,1127.6,117.59,18.86
2002-01-17,284.7,1138.9,117.85,17.97
2002-01-18,283.4,1127.6,117.51,18.0
2002-01-21,295.66,1157.52,117.66,25.388
2002-01-22,281.8,1119.3,117.75,18.34
2002-01-23,278.9,1128.2,118.47,19.5
2002-01-24,278.4,1132.2,118.64,19.7
2002-01-25,279.1,1133.3,119.85,19.99
2002-01-28,278.5,1133.1,120.04,20.05
2002-01-29,281.4,1100.6,119.62,19.58
2002-01-30,282.9,1113.6,119.73,19.08
2002-01-31,282.9,1130.2,120.24,19.48
2002-02-01,286.8,1122.2,119.79,20.38
2002-02-04,290.1,1094.4,118.9,20.07
2002-02-05,299.1,1090.0,119.4,20.07
2002-02-06,298.3,1083.5,119.3,19.78
2002-02-07,300.6,1080.2,119.07,19.64
2002-02-08,304.4,1096.2,118.98,20.26
2002-02-11,300.8,1111.9,118.44,21.41
2002-02-12,301.3,1107.5,118.25,20.73
2002-02-13,300.0,1118.5,118.8,21.18
2002-02-14,300.2,1116.5,118.43,21.23
2002-02-15,298.9,1104.2,118.6,21.5
2002-02-18,282.28000000000003,1173.66,118.76,23.735999999999997
2002-02-19,293.6,1083.3,118.36,20.88
2002-02-20,292.6,1098.0,118.93,20.29
2002-02-21,293.5,1081.0,119.16,20.95
2002-02-22,293.5,1089.8,118.48,21.07
2002-02-25,292.9,1109.4,119.13,20.48
2002-02-26,298.2,1109.4,119.82,21.41
2002-02-27,296.6,1109.9,119.57,21.29
2002-02-28,297.1,1106.7,119.16,21.74
2002-03-01,298.4,1131.8,119.4,22.4
2002-03-04,297.1,1153.8,118.81,22.45
2002-03-05,294.4,1146.1,118.57,23.17
2002-03-06,293.9,1162.8,117.96,23.15
2002-03-07,290.5,1157.5,116.8,23.71
2002-03-08,290.3,1164.3,117.99,23.84
2002-03-11,291.3,1168.3,117.73,24.31
2002-03-12,293.8,1165.6,117.8,24.2
2002-03-13,293.8,1154.1,117.96,24.16
2002-03-14,291.2,1153.0,117.29,24.56
2002-03-15,290.1,1166.2,117.22,24.51
2002-03-18,292.5,1165.5,117.5,25.11
2002-03-19,293.0,1170.3,117.5,24.88
2002-03-20,292.4,1151.8,117.22,24.9
2002-03-21,293.1,1153.6,117.52,25.61
2002-03-22,297.6,1148.7,118.05,25.35
2002-03-25,297.7,1131.9,118.1,24.99
2002-03-26,296.8,1138.5,118.14,25.36
2002-03-27,302.2,1144.6,118.54,25.87
2002-03-28,303.7,1147.4,118.62,26.31
2002-04-01,304.2,1146.5,117.77,26.88
2002-04-02,307.0,1136.8,117.92,27.71
2002-04-03,303.5,1125.4,117.68,27.56
2002-04-04,302.0,1126.3,117.94,26.58
2002-04-05,301.0,1122.7,117.69,26.21
2002-04-08,301.3,1125.3,118.2,26.54
